year,event_id,event_name,player_id,top20,model_p,model_p_rn,open_am,close_am,fair_open,fair_close,edge,ev,clv_pct
2023,10,The Honda Classic,4163,0,0.173361522198732,0.136052083082226,450,550,0.142179771202227,0.118701564106314,-0.00612768812000078,-0.0275745965400035,-0.153846153846154
2023,10,The Honda Classic,5625,0,0.106140350877193,0.0832976986632976,1100,1200,0.0651657284676874,0.0593507820531572,0.0181319701956102,0.199451672151712,-0.0769230769230769
2023,10,The Honda Classic,5698,0,0.13265306122449,0.104104561830838,1100,1800,0.0651657284676874,0.0406084298258444,0.0389388333631501,0.428327166994651,-0.368421052631579
2023,10,The Honda Classic,5701,0,0.120689655172414,0.094715821506571,2200,2000,0.0339995105048804,0.0367409603186211,0.0607163110016906,1.33575884203719,0.0952380952380953
2023,10,The Honda Classic,5716,0,0.208459214501511,0.163596339089036,275,260,0.2085303310966,0.21432226852529,-0.0449339920075635,-0.1235684780208,0.0416666666666667
2023,10,The Honda Classic,5768,0,0.159217877094972,0.12495231679997,350,360,0.173775275913833,0.167730471019792,-0.0488229591138636,-0.170880356898523,-0.0217391304347825
2023,10,The Honda Classic,5874,1,0.173361522198732,0.136052083082226,800,900,0.0868876379569166,0.0771560166691044,0.0491644451253098,0.393315561002478,-0.1
2023,10,The Honda Classic,5951,0,0.106140350877193,0.0832976986632976,1100,1400,0.0651657284676874,0.0514373444460696,0.0181319701956102,0.199451672151712,-0.2
2023,10,The Honda Classic,6169,0,0.208459214501511,0.163596339089036,130,140,0.339995105048804,0.321483402787935,-0.176398765959768,-0.229318395747698,-0.0416666666666667
2023,10,The Honda Classic,6252,0,0.295508274231679,0.231911417062695,400,400,0.15639774832245,0.154312033338209,0.075513668740245,0.30205467496098,0
2023,10,The Honda Classic,6283,0,0.0806451612903226,0.0632893738177548,1100,900,0.0651657284676874,0.0771560166691044,-0.00187635464993263,-0.020639901149259,0.2
2023,10,The Honda Classic,6674,0,0.106140350877193,0.0832976986632976,2200,2000,0.0339995105048804,0.0367409603186211,0.0492981881584172,1.08456013948518,0.0952380952380953
2023,10,The Honda Classic,6931,0,0.106140350877193,0.0832976986632976,1100,1100,0.0651657284676874,0.0642966805575869,0.0181319701956102,0.199451672151712,0
2023,10,The Honda Classic,6986,1,0.106140350877193,0.0832976986632976,450,600,0.142179771202227,0.110222880955863,-0.0588820725389295,-0.264969326425183,-0.214285714285714
2023,10,The Honda Classic,7293,0,0.106140350877193,0.0832976986632976,900,1000,0.0781988741612249,0.0701418333355494,0.00509882450207269,0.0458894205186542,-0.0909090909090909
2023,10,The Honda Classic,7301,0,0.159217877094972,0.12495231679997,600,900,0.111712677373178,0.0771560166691044,0.0132396394267911,0.0794378365607464,-0.3
2023,10,The Honda Classic,7489,0,0.173361522198732,0.136052083082226,600,600,0.111712677373178,0.110222880955863,0.0243394057090479,0.146036434254287,0
2023,10,The Honda Classic,7626,0,0.159217877094972,0.12495231679997,650,650,0.1042651655483,0.102874688892139,0.0206871512516696,0.134466483135853,0
2023,10,The Honda Classic,7820,0,0.295508274231679,0.231911417062695,275,280,0.2085303310966,0.203042149129222,0.0233810859660951,0.0642979864067615,-0.013157894736842
2023,10,The Honda Classic,7881,0,0.159217877094972,0.12495231679997,1000,750,0.0710898856011136,0.0907717843165933,0.053862431198856,0.538624311988559,0.294117647058824
2023,10,The Honda Classic,7900,0,0.142857142857143,0.112112605048594,1100,1200,0.0651657284676874,0.0593507820531572,0.0469468765809068,0.516415642389975,-0.0769230769230769
2023,10,The Honda Classic,7959,0,0.106140350877193,0.0832976986632976,1200,1200,0.0601529801240192,0.0593507820531572,0.0231447185392785,0.277736622471341,0
2023,10,The Honda Classic,8182,0,0.13265306122449,0.104104561830838,900,800,0.0781988741612249,0.0857289074101159,0.0259056876696126,0.233151189026513,0.111111111111111
2023,10,The Honda Classic,8469,0,0.13265306122449,0.104104561830838,600,600,0.111712677373178,0.110222880955863,-0.00760811554234098,-0.0456486932540459,0
2023,10,The Honda Classic,8479,0,0.13265306122449,0.104104561830838,1100,1100,0.0651657284676874,0.0642966805575869,0.0389388333631501,0.428327166994651,0
2023,10,The Honda Classic,8571,0,0.120689655172414,0.094715821506571,850,1000,0.0823146043802368,0.0701418333355494,0.0124012171263342,0.105410345573841,-0.136363636363636
2023,10,The Honda Classic,9171,0,0.0806451612903226,0.0632893738177548,1200,1200,0.0601529801240192,0.0593507820531572,0.00313639369373563,0.0376367243248275,0
2023,10,The Honda Classic,9604,0,0.159217877094972,0.12495231679997,900,700,0.0781988741612249,0.0964450208363804,0.0467534426387446,0.420780983748701,0.25
2023,10,The Honda Classic,10423,1,0.032258064516129,0.0253157495271019,1800,2000,0.0411573021901184,0.0367409603186211,-0.0158415526630165,-0.285147947934296,-0.0952380952380952
2023,10,The Honda Classic,10877,0,0.173361522198732,0.136052083082226,750,850,0.091998675483794,0.0812168596516888,0.0440534075984323,0.330400556988243,-0.105263157894737
2023,10,The Honda Classic,11049,0,0.173361522198732,0.136052083082226,300,330,0.195497185403062,0.179432596904894,-0.0594451023208359,-0.178335306962508,-0.0697674418604651
2023,10,The Honda Classic,11117,0,0.0806451612903226,0.0632893738177548,900,900,0.0781988741612249,0.0771560166691044,-0.0149095003434701,-0.134185503091231,0
2023,10,The Honda Classic,11276,0,0.173361522198732,0.136052083082226,150,130,0.3127954966449,0.335460942039584,-0.176743413562673,-0.26511512034401,0.0869565217391306
2023,10,The Honda Classic,11330,0,0.173361522198732,0.136052083082226,850,1100,0.0823146043802368,0.0642966805575869,0.0537374787019896,0.456768568966912,-0.208333333333333
2023,10,The Honda Classic,11451,0,0.106140350877193,0.0832976986632976,850,850,0.0823146043802368,0.0812168596516888,0.00098309428306087,0.0083563014060174,0
2023,10,The Honda Classic,11657,0,0.13265306122449,0.104104561830838,700,550,0.0977485927015312,0.118701564106314,0.00635596912930633,0.0444917839051443,0.230769230769231
2023,10,The Honda Classic,11955,0,0.13265306122449,0.104104561830838,450,360,0.142179771202227,0.167730471019792,-0.0380752093713897,-0.171338442171254,0.195652173913044
2023,10,The Honda Classic,12069,0,0.149659863945578,0.117451300527099,1600,1600,0.045999337741897,0.0453858921582967,0.0714519627852017,1.14323140456323,0
2023,10,The Honda Classic,12423,1,0.295508274231679,0.231911417062695,140,160,0.325828642338437,0.296753910265786,-0.0939172252757423,-0.131484115386039,-0.076923076923077
2023,10,The Honda Classic,12477,0,0.173361522198732,0.136052083082226,1100,1200,0.0651657284676874,0.0593507820531572,0.070886354614539,0.779749900759929,-0.0769230769230769
2023,10,The Honda Classic,12846,1,0.208459214501511,0.163596339089036,1100,1400,0.0651657284676874,0.0514373444460696,0.0984306106213488,1.08273671683484,-0.2
2023,10,The Honda Classic,12920,0,0.295508274231679,0.231911417062695,260,260,0.217219094892292,0.21432226852529,0.0146923221704034,0.0382000376430488,0
2023,10,The Honda Classic,13022,0,0.208459214501511,0.163596339089036,750,900,0.091998675483794,0.0771560166691044,0.0715976636052423,0.536982477039317,-0.15
2023,10,The Honda Classic,13127,0,0.208459214501511,0.163596339089036,650,400,0.1042651655483,0.154312033338209,0.0593311735407364,0.385652628014787,0.5
2023,10,The Honda Classic,13404,0,0.106140350877193,0.0832976986632976,1100,1000,0.0651657284676874,0.0701418333355494,0.0181319701956102,0.199451672151712,0.0909090909090908
2023,10,The Honda Classic,13508,0,0.208459214501511,0.163596339089036,200,175,0.26066291387075,0.280567333342198,-0.0970665747817135,-0.194133149563427,0.0909090909090908
2023,10,The Honda Classic,13531,0,0.142857142857143,0.112112605048594,600,500,0.111712677373178,0.128593361115174,0.000399927675415746,0.00239956605249447,0.166666666666667
2023,10,The Honda Classic,13831,0,0.106140350877193,0.0832976986632976,320,360,0.186187795621964,0.167730471019792,-0.102890096958666,-0.329248310267733,-0.0869565217391304
2023,10,The Honda Classic,13900,1,0.295508274231679,0.231911417062695,-125,100,0.434438189784583,0.385780083345522,-0.202526772721888,-0.16202141817751,-0.1
2023,10,The Honda Classic,13997,0,0.295508274231679,0.231911417062695,160,150,0.300764900620096,0.308624066676417,-0.068853483557401,-0.110165573691842,0.04
2023,10,The Honda Classic,14000,0,0.208459214501511,0.163596339089036,1000,1100,0.0710898856011136,0.0642966805575869,0.0925064534879227,0.925064534879227,-0.0833333333333334
2023,10,The Honda Classic,14002,0,0.295508274231679,0.231911417062695,700,700,0.0977485927015312,0.0964450208363804,0.134162824361164,0.939139770528146,0
2023,10,The Honda Classic,14007,1,0.173361522198732,0.136052083082226,450,450,0.142179771202227,0.140283666671099,-0.00612768812000078,-0.0275745965400035,0
2023,10,The Honda Classic,14140,0,0.295508274231679,0.231911417062695,500,550,0.130331456935375,0.118701564106314,0.10157996012732,0.5078998006366,-0.0769230769230769
2023,10,The Honda Classic,14181,0,0.295508274231679,0.231911417062695,165,190,0.295090091174434,0.266055229893463,-0.0631786741117389,-0.104244812284369,-0.0862068965517241
2023,10,The Honda Classic,14196,1,0.295508274231679,0.231911417062695,190,190,0.26965129021112,0.266055229893463,-0.0377398731484256,-0.0717057589820086,0
2023,10,The Honda Classic,14459,0,0.295508274231679,0.231911417062695,250,230,0.223425354746357,0.233806111118498,0.00848606231633795,0.0212151557908449,0.0606060606060606
2023,10,The Honda Classic,14577,0,0.13265306122449,0.104104561830838,180,190,0.279281693432946,0.266055229893463,-0.175177131602109,-0.315318836883796,-0.0344827586206897
2023,10,The Honda Classic,14655,0,0.159217877094972,0.12495231679997,1100,1100,0.0651657284676874,0.0642966805575869,0.0597865883322821,0.657652471655103,0
2023,10,The Honda Classic,14698,0,0.159217877094972,0.12495231679997,280,230,0.205786510950592,0.233806111118498,-0.0808341941506224,-0.226335743621743,0.151515151515152
2023,10,The Honda Classic,14799,0,0.370967741935484,0.291131119561672,600,450,0.111712677373178,0.140283666671099,0.179418442188494,1.07651065313096,0.272727272727273
2023,10,The Honda Classic,14815,1,0.149659863945578,0.117451300527099,600,650,0.111712677373178,0.102874688892139,0.00573862315392024,0.0344317389235214,-0.0666666666666667
2023,10,The Honda Classic,14852,0,0.106140350877193,0.0832976986632976,800,750,0.0868876379569166,0.0907717843165933,-0.00358993929361895,-0.0287195143489516,0.0588235294117647
2023,10,The Honda Classic,14926,0,0.208459214501511,0.163596339089036,450,360,0.142179771202227,0.167730471019792,0.0214165678868091,0.0963745554906411,0.195652173913044
2023,10,The Honda Classic,14967,0,0.106140350877193,0.0832976986632976,450,550,0.142179771202227,0.118701564106314,-0.0588820725389295,-0.264969326425183,-0.153846153846154
2023,10,The Honda Classic,15016,0,0.208459214501511,0.163596339089036,400,500,0.15639774832245,0.128593361115174,0.00719859076658641,0.0287943630663456,-0.166666666666667
2023,10,The Honda Classic,15162,0,0.106140350877193,0.0832976986632976,1200,1200,0.0601529801240192,0.0593507820531572,0.0231447185392785,0.277736622471341,0
2023,10,The Honda Classic,15473,0,0.13265306122449,0.104104561830838,400,400,0.15639774832245,0.154312033338209,-0.0522931864916124,-0.20917274596645,0
2023,10,The Honda Classic,15634,0,0.117117117117117,0.0919121356704691,900,850,0.0781988741612249,0.0812168596516888,0.0137132615092442,0.123419353583198,0.0526315789473684
2023,10,The Honda Classic,15852,0,0.173361522198732,0.136052083082226,1100,1200,0.0651657284676874,0.0593507820531572,0.070886354614539,0.779749900759929,-0.0769230769230769
2023,10,The Honda Classic,16039,0,0.173361522198732,0.136052083082226,900,900,0.0781988741612249,0.0771560166691044,0.0578532089210014,0.520678880289013,0
2023,10,The Honda Classic,16333,0,0.173361522198732,0.136052083082226,400,350,0.15639774832245,0.171457814820232,-0.0203456652402235,-0.081382660960894,0.111111111111111
2023,10,The Honda Classic,16394,1,0.295508274231679,0.231911417062695,280,200,0.205786510950592,0.257186722230348,0.026124906112103,0.0731497371138883,0.266666666666667
2023,10,The Honda Classic,16757,0,0.208459214501511,0.163596339089036,550,550,0.120305960248038,0.118701564106314,0.0432903788409979,0.238097083625489,0
2023,10,The Honda Classic,16796,0,0.159217877094972,0.12495231679997,900,600,0.0781988741612249,0.110222880955863,0.0467534426387446,0.420780983748701,0.428571428571429
2023,10,The Honda Classic,16841,0,0.106140350877193,0.0832976986632976,140,165,0.325828642338437,0.291154779883413,-0.24253094367514,-0.339543321145195,-0.0943396226415094
2023,10,The Honda Classic,17068,0,0.159217877094972,0.12495231679997,500,450,0.130331456935375,0.140283666671099,-0.00537914013540534,-0.0268957006770267,0.0909090909090908
2023,10,The Honda Classic,17266,0,0.106140350877193,0.0832976986632976,450,360,0.142179771202227,0.167730471019792,-0.0588820725389295,-0.264969326425183,0.195652173913044
2023,10,The Honda Classic,17381,0,0.13265306122449,0.104104561830838,650,900,0.1042651655483,0.0771560166691044,-0.000160603717462404,-0.00104392416350563,-0.25
2023,10,The Honda Classic,17488,0,0.295508274231679,0.231911417062695,-190,-150,0.512337451401129,0.462936100014626,-0.280426034338434,-0.147592649651807,-0.0842105263157895
2023,10,The Honda Classic,17508,0,0.173361522198732,0.136052083082226,1200,1200,0.0601529801240192,0.0593507820531572,0.0758991029582072,0.910789235498486,0
