event_id,year,market,fair_open,edge,clv_pct,hit,pnl_open
14,2023,win,0.000280003088330949,-3.00030883309489e-05,0.666222518321119,0,-1
14,2023,win,0.000140029538875366,0.000359970461124634,0,0,-1
14,2023,win,0.000699588135779923,0.000300411864220077,0,0,-1
14,2023,win,0.000140029538875366,-0.000140029538875366,0,0,-1
14,2023,win,0.000140029538875366,0.00110997046112463,0.999600159936026,0,-1
14,2023,win,0.00278999093193507,0.00196000906806493,-0.284900284900285,0,-1
14,2023,win,0.000140029538875366,-0.000140029538875366,0,0,-1
14,2023,win,0.00986320737909441,-0.00661320737909441,-0.21978021978022,0,-1
14,2023,win,0.000280003088330949,0.00171999691166905,0,0,-1
14,2023,win,0.00534570781615041,-0.00109570781615041,-0.132450331125828,0,-1
14,2023,win,0.0125051379270661,-0.00825513792706613,0.0980392156862746,0,-1
14,2023,win,0.00693354182094756,-0.000183541820947557,-0.0900900900900901,0,-1
14,2023,win,0.00116520419952696,0.00658479580047304,0,0,-1
14,2023,win,0.00278999093193507,0.0324600090680649,0,0,-1
14,2023,win,0.00232653728875649,0.0106734627112435,-0.142450142450142,0,-1
14,2023,win,0.00232653728875649,0.0216734627112435,-0.142450142450142,0,-1
14,2023,win,0.00630889841365499,0.00119110158634502,0,0,-1
14,2023,win,0.00534570781615041,0.00315429218384959,-0.348258706467662,0,-1
14,2023,win,0.030447292344161,-0.022197292344161,-0.115384615384615,0,-1
14,2023,win,0.0875359654894629,-0.0757859654894629,0,0,-1
14,2023,win,0.00534570781615041,0.00490429218384959,-0.132450331125828,0,-1
14,2023,win,0.0034840185269438,0.0022659814730562,0,0,-1
14,2023,win,0.00386899294981052,0.00388100705018948,-0.099502487562189,0,-1
14,2023,win,0.0017463534262237,0.0470036465737763,-0.199600798403194,0,-1
14,2023,win,0.030447292344161,-0.024947292344161,0.0952380952380953,0,-1
14,2023,win,0.00463766704579936,0.0101123329542006,-0.248756218905473,0,-1
14,2023,win,0.0137311318414844,0.0135188681585156,-0.0892857142857143,0,-1
14,2023,win,0.00278999093193507,0.00196000906806493,0,0,-1
14,2023,win,0.00199512172055756,0.00875487827944244,0,0,-1
14,2023,win,0.030447292344161,-0.00894729234416101,0,0,-1
14,2023,win,0.00534570781615041,0.0329042921838496,-0.132450331125828,0,-1
14,2023,win,0.0034840185269438,0.0140159814730562,-0.199203187250996,0,-1
14,2023,win,0.00534570781615041,-0.00359570781615041,0,0,-1
14,2023,win,0.00232653728875649,0.00392346271124351,0,0,-1
14,2023,win,0.0170801883881879,0.00491981161181212,-0.196078431372549,0,-1
14,2023,win,0.00630889841365499,0.017691101586345,-0.0826446280991735,0,-1
14,2023,win,0.0114801266215689,0.0592698733784311,0.0892857142857142,0,-1
14,2023,win,0.00463766704579936,-0.000887667045799359,0,0,-1
14,2023,win,0.00278999093193507,0.00971000906806493,-0.166112956810631,0,-1
14,2023,win,0.0333470344721763,-0.0258470344721763,-0.192307692307692,0,-1
14,2023,win,0.00278999093193507,0.00146000906806493,-0.166112956810631,0,-1
14,2023,win,0.00278999093193507,0.0202100090680649,0,0,-1
14,2023,win,0.00534570781615041,0.00165429218384959,0,0,-1
14,2023,win,0.00769546949357916,-0.00669546949357916,0,0,-1
14,2023,win,0.0411933955244531,-0.0311933955244531,-0.105263157894737,0,-1
14,2023,win,0.0125051379270661,-0.00775513792706613,0.0980392156862746,0,-1
14,2023,win,0.0114801266215689,0.0107698733784311,-0.32967032967033,0,-1
14,2023,win,0.0368572486271423,-0.00885724862714228,-0.0952380952380952,0,-1
14,2023,win,0.00232653728875649,-0.00207653728875649,-0.142450142450142,0,-1
14,2023,win,0.00693354182094756,0.000816458179052443,-0.0900900900900901,0,-1
14,2023,win,0.0013977798880553,-0.000647779888055296,-0.166389351081531,0,-1
14,2023,win,0.030447292344161,-0.00594729234416101,-0.361111111111111,0,-1
14,2023,win,0.0194524367754362,-0.0119524367754362,-0.121951219512195,0,-1
14,2023,win,0.0034840185269438,0.0247659814730562,0,0,-1
14,2023,win,0.0106104200593288,0.00338957994067116,0,0,-1
14,2023,win,0.00864552745574942,-0.00739552745574942,-0.198019801980198,0,-1
14,2023,win,0.0194524367754362,-0.0117024367754362,-0.217391304347826,0,-1
14,2023,win,0.00232653728875649,-0.00132653728875649,-0.142450142450142,0,-1
14,2023,win,0.0269341432275271,0.00881585677247295,-0.161290322580645,0,-1
14,2023,win,0.0170801883881879,0.0294198116118121,-0.108695652173913,0,-1
14,2023,win,0.0170801883881879,0.0181698116118121,-0.196078431372549,0,-1
14,2023,win,0.0125051379270661,-0.00850513792706613,-0.0819672131147541,0,-1
14,2023,win,0.00534570781615041,0.0204042921838496,0,0,-1
14,2023,win,0.0875359654894629,-0.0872859654894629,0.0666666666666667,0,-1
14,2023,win,0.00534570781615041,-0.00134570781615041,0,0,-1
14,2023,win,0.0194524367754362,-0.0139524367754362,-0.217391304347826,0,-1
14,2023,win,0.0700287723915703,-0.0635287723915703,0.0526315789473684,1,9
14,2023,win,0.00693354182094756,0.0183164581790524,0.246913580246914,0,-1
14,2023,win,0.0170801883881879,0.00116981161181211,-0.108695652173913,0,-1
14,2023,win,0.00693354182094756,0.0228164581790524,-0.0900900900900901,0,-1
14,2023,win,0.030447292344161,-0.016947292344161,-0.115384615384615,0,-1
14,2023,win,0.00278999093193507,-0.00128999093193507,0,0,-1
14,2023,win,0.00534570781615041,0.0139042921838496,0,0,-1
14,2023,win,0.00386899294981052,-0.000618992949810516,0,0,-1
14,2023,win,0.0269341432275271,-0.0191841432275271,-0.103448275862069,0,-1
14,2023,win,0.00630889841365499,0.000941101586345016,-0.0826446280991735,0,-1
14,2023,win,0.00232653728875649,0.000173462711243511,0,0,-1
14,2023,win,0.000280003088330949,-3.00030883309489e-05,0,0,-1
14,2023,win,0.000280003088330949,-3.00030883309489e-05,0,0,-1
14,2023,win,0.00921431215678557,-0.00546431215678557,-0.164835164835165,0,-1
14,2023,win,0.0241478525488174,-0.0213978525488174,-0.194444444444444,0,-1
14,2023,win,0.000280003088330949,-3.00030883309489e-05,-0.499900019996001,0,-1
14,2023,win,0.000280003088330949,0.000219996911669051,0.249875062468766,0,-1
14,2023,win,0.000349968877519092,-0.000349968877519092,0.999000999000999,0,-1
14,2023,win,0.000140029538875366,0.00135997046112463,0.999600159936026,0,-1
14,2023,win,0.000874266821367919,-0.000624266821367919,1.66112956810631,0,-1
100,2023,win,0.000144072453742839,-0.000144072453742839,0,0,-1
100,2023,win,0.000719786554613323,0.000780963820574271,-0.33311125916056,0,-1
100,2023,win,0.00287054319190413,0.00688433424681523,-0.166112956810631,0,-1
100,2023,win,0.000144072453742839,0.000356177671319693,0.999600159936026,0,-1
100,2023,win,0.00089950854078394,0.038620251339156,0.332778702163062,0,-1
100,2023,win,0.00398069801750241,2.13029829978419e-05,0,0,-1
100,2023,win,0.00179677391812453,-0.00154664885559326,0.597609561752988,0,-1
100,2023,win,0.0141275753170184,-0.0141275753170184,-0.0892857142857143,0,-1
100,2023,win,0.00889514001441896,0.00511186348733191,0.327868852459016,0,-1
100,2023,win,0.00119884582557061,0.00055202961214825,0.498753117206983,0,-1
100,2023,win,0.00089950854078394,0.000851366896934919,0.332778702163062,0,-1
100,2023,win,0.00089950854078394,0.0168593708989359,0,0,-1
100,2023,win,0.00089950854078394,0.00185186714705998,0.332778702163062,0,-1
100,2023,win,0.000360073134016959,0.00164092736623317,0.33311125916056,0,-1
100,2023,win,0.00119884582557061,-0.000948720763039343,-0.3996003996004,0,-1
100,2023,win,0.00143813640951684,0.0048149901537648,0,0,-1
100,2023,win,0.00649104811863005,-0.0024890471181298,0,0,-1
100,2023,win,0.000719786554613323,-0.000219536429550791,-0.499750124937531,0,-1
100,2023,win,0.000288087301546556,0.000962538011109772,0,0,-1
100,2023,win,0.00713372615017758,0.00137052597588545,0,1,100
100,2023,win,0.000288087301546556,-3.79622390152901e-05,0,0,-1
100,2023,win,0.00179677391812453,-0.00179677391812453,0,0,-1
100,2023,win,0.00550004840586211,0.0400227129748282,0.18018018018018,0,-1
100,2023,win,0.0847654519021101,-0.0660060722122652,-0.0555555555555556,0,-1
100,2023,win,0.00287054319190413,0.00663420918428397,0,0,-1
100,2023,win,0.00179677391812453,0.000954601769719393,0.142450142450143,0,-1
100,2023,win,0.00239370877464431,-0.000142583211862915,0.199203187250996,0,-1
100,2023,win,0.00179677391812453,0.0114598543960326,0,0,-1
100,2023,win,0.00119884582557061,0.0038036554250547,0.498753117206983,0,-1
100,2023,win,0.000719786554613323,-0.000719786554613323,-0.599760095961615,0,-1
100,2023,win,0.0118115793634088,-0.00505820267506461,0.0892857142857142,0,-1
100,2023,win,0.00791765210074655,-0.00366552603771503,-0.18018018018018,0,-1
100,2023,win,0.00398069801750241,-0.00373057295497114,0.198675496688742,0,-1
100,2023,win,0.000480017549079238,0.00077060776357709,0,0,-1
100,2023,win,0.0277117823526129,-0.0189574051640186,0,0,-1
100,2023,win,0.00089950854078394,0.00760474358527909,0,0,-1
100,2023,win,0.0232421400376754,-0.0142376377865498,0,0,-1
100,2023,win,0.00358460866252704,0.00141789258809827,0.331125827814569,0,-1
100,2023,win,0.00179677391812453,0.00395610252009458,0.142450142450143,0,-1
