event_id,year,n,spearman,our_act,opt_act,sal_act,pct_opt,cash_line,cashed,du_roi,pctile,gpp_roi
457,2025,112,0.128647827302088,483,899,646.5,0.537263626251391,512.75,0,-1,0.3575,-1
464,2024,143,0.203551421353209,464.5,837,377,0.554958183990442,356.25,1,0.8,0.964166666666667,2
47,2024,129,0.273138600566739,455.5,886.5,0,0.513818386914834,417.5,1,0.8,0.668333333333333,-1
475,2023,142,0.154978424036201,297,573.5,318.5,0.517872711421099,297,1,0.8,0.503333333333333,-1
475,2024,151,0.217733270874555,337.5,684,300,0.493421052631579,289.25,1,0.8,0.785833333333333,0.2
475,2025,152,0.328515036065079,250,618,464,0.40453074433657,318.5,0,-1,0.125,-1
480,2023,152,0.22071178678943,327,663,153,0.493212669683258,364.25,0,-1,0.2975,-1
480,2024,68,0.19313637538917,528.5,627,442.5,0.842902711323764,367,1,0.8,1,99
480,2025,71,0.0968107189162485,421,739.5,513.5,0.569303583502367,437.5,0,-1,0.336666666666667,-1
483,2023,112,0.529718383258154,492.5,801,432.5,0.614856429463171,336.75,1,0.8,0.980833333333333,5
483,2025,127,0.207860601183857,502,828,369,0.606280193236715,396.75,1,0.8,0.915,0.8
493,2024,150,0.233001951309246,400,717,457.5,0.557880055788006,365.5,1,0.8,0.673333333333333,-1
493,2025,145,0.326287477232668,290,824,489,0.351941747572816,494.75,0,-1,0.00166666666666667,-1
5,2023,154,0.337314517784129,390,721.5,483.5,0.540540540540541,384.75,1,0.8,0.545,-1
5,2024,79,0.0866505590586366,349.5,744,439.5,0.469758064516129,367.5,0,-1,0.316666666666667,-1
5,2025,80,0.0678093295550034,381,778,0,0.489717223650386,477.5,0,-1,0.0383333333333333,-1
518,2023,150,0.274556077179665,373,837.5,361.5,0.445373134328358,341.25,1,0.8,0.653333333333333,-1
518,2024,155,0.162419186642387,222,865.5,0,0.256499133448874,371.5,0,-1,0.0283333333333333,-1
518,2025,149,0.287423287223139,367,679,218.5,0.540500736377025,251,1,0.8,0.971666666666667,5
519,2024,60,0.556130269634467,453,694.5,549,0.652267818574514,480.5,0,-1,0.273333333333333,-1
522,2023,116,0.498891852966872,405,730,334,0.554794520547945,420.25,0,-1,0.421666666666667,-1
522,2024,130,0.322867020097006,339.5,840,508,0.404166666666667,346.5,0,-1,0.455,-1
522,2025,127,0.530402078108683,371.5,693,442.5,0.536075036075036,327.25,1,0.8,0.755833333333333,-1
524,2023,153,0.337266174930683,284,822.5,357.5,0.345288753799392,412.75,0,-1,0.0558333333333333,-1
524,2024,155,0.386892558034161,231.5,724,180,0.31975138121547,398.5,0,-1,0.0133333333333333,-1
525,2023,155,0.223358583835549,276,915,328,0.301639344262295,372.25,0,-1,0.0625,-1
525,2024,154,0.307253547943312,509,819,439.5,0.621489621489622,370,1,0.8,0.9725,5
525,2025,153,0.275177632890409,477,835.5,432.5,0.570915619389587,429,1,0.8,0.733333333333333,-1
528,2024,116,0.331531456215025,127.5,762,432,0.167322834645669,432.5,0,-1,0,-1
54,2025,129,0.221901029968697,253.5,803.5,339.5,0.315494710640946,368.75,0,-1,0.0625,-1
540,2023,144,0.517901065853995,461,734.5,455,0.627637848876787,438,1,0.8,0.615833333333333,-1
