player_name,odds,model_prob,market_prob,edge,ev,units,sg_last_24
"Todd, Brendon",2800,0.308,0.034,0.274,7.67,1.5,0.65
"Hoge, Tom",600,0.734,0.143,0.591,3.55,4,1.22
"Hubbard, Mark",640,0.551,0.135,0.416,2.66,3.5,0.94
"Lee, K.H.",1500,0.203,0.062,0.141,2.11,1,0.39
"Pavon, Matthieu",580,0.484,0.147,0.337,1.95,2,0.73
"Homa, Max",380,0.678,0.208,0.47,1.78,4,1.14
"Phillips, Chandler",940,0.278,0.096,0.182,1.71,1.5,0.75
"Cole, Eric",360,0.621,0.217,0.404,1.45,3.5,1.14
"Fishburn, Patrick",690,0.332,0.127,0.205,1.42,1.5,0.91
"Lebioda, Hank",790,0.27,0.112,0.158,1.25,1.5,0.55
"Kim, Michael",415,0.49,0.194,0.296,1.23,2,0.9
"Horschel, Billy",405,0.432,0.198,0.234,0.95,2,0.96
"Grillo, Emiliano",460,0.355,0.179,0.177,0.81,2,0.75
"Campos, Rafael",2500,0.07,0.038,0.031,0.78,1,0.22
"Palmer, Ryan",3500,0.049,0.028,0.021,0.73,1,-0.11
"Zalatoris, Will",270,0.483,0.27,0.213,0.58,2,0.66
"Poston, J.T.",270,0.434,0.27,0.163,0.44,2,1.04
"Van Rooyen, Erik",960,0.137,0.094,0.043,0.41,1,0.35
"Hisatsune, Ryo",182,0.577,0.355,0.222,0.4,2.5,1.07
"Matsuyama, Hideki",115,0.81,0.465,0.345,0.4,4,1.25
