event_id,year,player_id,open_am,close_am,top20,wave,is_calm,wind_gap,open_dec,close_dec,open_imp,fair_p,pnl_open,clv
10,2023,4163,450,550,0,PM,0,2.61666666666667,5.5,6.5,0.181818181818182,0.142179771202227,-1,-0.153846153846154
10,2023,5625,1100,1200,0,AM,1,2.61666666666667,12,13,0.0833333333333333,0.0651657284676874,-1,-0.0769230769230769
10,2023,5698,1100,1800,0,AM,1,2.61666666666667,12,19,0.0833333333333333,0.0651657284676874,-1,-0.368421052631579
10,2023,5701,2200,2000,0,PM,0,2.61666666666667,23,21,0.0434782608695652,0.0339995105048804,-1,0.0952380952380953
10,2023,5716,275,260,0,PM,0,2.61666666666667,3.75,3.6,0.266666666666667,0.2085303310966,-1,0.0416666666666667
10,2023,5768,350,360,0,AM,1,2.61666666666667,4.5,4.6,0.222222222222222,0.173775275913833,-1,-0.0217391304347825
10,2023,5874,800,900,1,PM,0,2.61666666666667,9,10,0.111111111111111,0.0868876379569166,8,-0.1
10,2023,5951,1100,1400,0,AM,1,2.61666666666667,12,15,0.0833333333333333,0.0651657284676874,-1,-0.2
10,2023,6169,130,140,0,PM,0,2.61666666666667,2.3,2.4,0.434782608695652,0.339995105048804,-1,-0.0416666666666667
10,2023,6252,400,400,0,PM,0,2.61666666666667,5,5,0.2,0.15639774832245,-1,0
10,2023,6283,1100,900,0,AM,1,2.61666666666667,12,10,0.0833333333333333,0.0651657284676874,-1,0.2
10,2023,6674,2200,2000,0,AM,1,2.61666666666667,23,21,0.0434782608695652,0.0339995105048804,-1,0.0952380952380953
10,2023,6931,1100,1100,0,AM,1,2.61666666666667,12,12,0.0833333333333333,0.0651657284676874,-1,0
10,2023,6986,450,600,1,PM,0,2.61666666666667,5.5,7,0.181818181818182,0.142179771202227,4.5,-0.214285714285714
10,2023,7293,900,1000,0,PM,0,2.61666666666667,10,11,0.1,0.0781988741612249,-1,-0.0909090909090909
10,2023,7301,600,900,0,AM,1,2.61666666666667,7,10,0.142857142857143,0.111712677373178,-1,-0.3
10,2023,7489,600,600,0,PM,0,2.61666666666667,7,7,0.142857142857143,0.111712677373178,-1,0
10,2023,7626,650,650,0,AM,1,2.61666666666667,7.5,7.5,0.133333333333333,0.1042651655483,-1,0
10,2023,7820,275,280,0,AM,1,2.61666666666667,3.75,3.8,0.266666666666667,0.2085303310966,-1,-0.013157894736842
10,2023,7881,1000,750,0,AM,1,2.61666666666667,11,8.5,0.0909090909090909,0.0710898856011136,-1,0.294117647058824
10,2023,7900,1100,1200,0,PM,0,2.61666666666667,12,13,0.0833333333333333,0.0651657284676874,-1,-0.0769230769230769
10,2023,7959,1200,1200,0,PM,0,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,8182,900,800,0,AM,1,2.61666666666667,10,9,0.1,0.0781988741612249,-1,0.111111111111111
10,2023,8469,600,600,0,AM,1,2.61666666666667,7,7,0.142857142857143,0.111712677373178,-1,0
10,2023,8479,1100,1100,0,AM,1,2.61666666666667,12,12,0.0833333333333333,0.0651657284676874,-1,0
10,2023,8571,850,1000,0,AM,1,2.61666666666667,9.5,11,0.105263157894737,0.0823146043802368,-1,-0.136363636363636
10,2023,9171,1200,1200,0,AM,1,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,9604,900,700,0,PM,0,2.61666666666667,10,8,0.1,0.0781988741612249,-1,0.25
10,2023,10423,1800,2000,1,PM,0,2.61666666666667,19,21,0.0526315789473684,0.0411573021901184,18,-0.0952380952380952
10,2023,10877,750,850,0,AM,1,2.61666666666667,8.5,9.5,0.117647058823529,0.091998675483794,-1,-0.105263157894737
10,2023,11049,300,330,0,AM,1,2.61666666666667,4,4.3,0.25,0.195497185403062,-1,-0.0697674418604651
10,2023,11117,900,900,0,AM,1,2.61666666666667,10,10,0.1,0.0781988741612249,-1,0
10,2023,11276,150,130,0,AM,1,2.61666666666667,2.5,2.3,0.4,0.3127954966449,-1,0.0869565217391306
10,2023,11330,850,1100,0,PM,0,2.61666666666667,9.5,12,0.105263157894737,0.0823146043802368,-1,-0.208333333333333
10,2023,11451,850,850,0,AM,1,2.61666666666667,9.5,9.5,0.105263157894737,0.0823146043802368,-1,0
10,2023,11657,700,550,0,AM,1,2.61666666666667,8,6.5,0.125,0.0977485927015312,-1,0.230769230769231
10,2023,11955,450,360,0,AM,1,2.61666666666667,5.5,4.6,0.181818181818182,0.142179771202227,-1,0.195652173913044
10,2023,12069,1600,1600,0,AM,1,2.61666666666667,17,17,0.0588235294117647,0.045999337741897,-1,0
10,2023,12423,140,160,1,PM,0,2.61666666666667,2.4,2.6,0.416666666666667,0.325828642338437,1.4,-0.076923076923077
10,2023,12477,1100,1200,0,PM,0,2.61666666666667,12,13,0.0833333333333333,0.0651657284676874,-1,-0.0769230769230769
10,2023,12846,1100,1400,1,AM,1,2.61666666666667,12,15,0.0833333333333333,0.0651657284676874,11,-0.2
10,2023,12920,260,260,0,PM,0,2.61666666666667,3.6,3.6,0.277777777777778,0.217219094892291,-1,0
10,2023,13022,750,900,0,AM,1,2.61666666666667,8.5,10,0.117647058823529,0.091998675483794,-1,-0.15
10,2023,13127,650,400,0,AM,1,2.61666666666667,7.5,5,0.133333333333333,0.1042651655483,-1,0.5
10,2023,13404,1100,1000,0,AM,1,2.61666666666667,12,11,0.0833333333333333,0.0651657284676874,-1,0.0909090909090908
10,2023,13508,200,175,0,AM,1,2.61666666666667,3,2.75,0.333333333333333,0.26066291387075,-1,0.0909090909090908
10,2023,13531,600,500,0,PM,0,2.61666666666667,7,6,0.142857142857143,0.111712677373178,-1,0.166666666666667
10,2023,13831,320,360,0,PM,0,2.61666666666667,4.2,4.6,0.238095238095238,0.186187795621964,-1,-0.0869565217391304
10,2023,13900,-125,100,1,AM,1,2.61666666666667,1.8,2,0.555555555555556,0.434438189784583,0.8,-0.1
10,2023,13997,160,150,0,PM,0,2.61666666666667,2.6,2.5,0.384615384615385,0.300764900620096,-1,0.04
10,2023,14000,1000,1100,0,AM,1,2.61666666666667,11,12,0.0909090909090909,0.0710898856011136,-1,-0.0833333333333334
10,2023,14002,700,700,0,AM,1,2.61666666666667,8,8,0.125,0.0977485927015312,-1,0
10,2023,14007,450,450,1,PM,0,2.61666666666667,5.5,5.5,0.181818181818182,0.142179771202227,4.5,0
10,2023,14140,500,550,0,AM,1,2.61666666666667,6,6.5,0.166666666666667,0.130331456935375,-1,-0.0769230769230769
10,2023,14181,165,190,0,PM,0,2.61666666666667,2.65,2.9,0.377358490566038,0.295090091174434,-1,-0.0862068965517241
10,2023,14196,190,190,1,AM,1,2.61666666666667,2.9,2.9,0.344827586206897,0.26965129021112,1.9,0
10,2023,14459,250,230,0,PM,0,2.61666666666667,3.5,3.3,0.285714285714286,0.223425354746357,-1,0.0606060606060606
10,2023,14577,180,190,0,PM,0,2.61666666666667,2.8,2.9,0.357142857142857,0.279281693432946,-1,-0.0344827586206897
10,2023,14655,1100,1100,0,AM,1,2.61666666666667,12,12,0.0833333333333333,0.0651657284676874,-1,0
10,2023,14698,280,230,0,AM,1,2.61666666666667,3.8,3.3,0.263157894736842,0.205786510950592,-1,0.151515151515152
10,2023,14799,600,450,0,PM,0,2.61666666666667,7,5.5,0.142857142857143,0.111712677373178,-1,0.272727272727273
10,2023,14815,600,650,1,AM,1,2.61666666666667,7,7.5,0.142857142857143,0.111712677373178,6,-0.0666666666666667
10,2023,14852,800,750,0,PM,0,2.61666666666667,9,8.5,0.111111111111111,0.0868876379569166,-1,0.0588235294117647
10,2023,14926,450,360,0,PM,0,2.61666666666667,5.5,4.6,0.181818181818182,0.142179771202227,-1,0.195652173913044
10,2023,14967,450,550,0,AM,1,2.61666666666667,5.5,6.5,0.181818181818182,0.142179771202227,-1,-0.153846153846154
10,2023,15016,400,500,0,PM,0,2.61666666666667,5,6,0.2,0.15639774832245,-1,-0.166666666666667
10,2023,15162,1200,1200,0,AM,1,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,15473,400,400,0,PM,0,2.61666666666667,5,5,0.2,0.15639774832245,-1,0
10,2023,15634,900,850,0,AM,1,2.61666666666667,10,9.5,0.1,0.0781988741612249,-1,0.0526315789473684
10,2023,15852,1100,1200,0,PM,0,2.61666666666667,12,13,0.0833333333333333,0.0651657284676874,-1,-0.0769230769230769
10,2023,16039,900,900,0,AM,1,2.61666666666667,10,10,0.1,0.0781988741612249,-1,0
10,2023,16333,400,350,0,AM,1,2.61666666666667,5,4.5,0.2,0.15639774832245,-1,0.111111111111111
10,2023,16394,280,200,1,PM,0,2.61666666666667,3.8,3,0.263157894736842,0.205786510950592,2.8,0.266666666666667
10,2023,16757,550,550,0,PM,0,2.61666666666667,6.5,6.5,0.153846153846154,0.120305960248038,-1,0
10,2023,16796,900,600,0,AM,1,2.61666666666667,10,7,0.1,0.0781988741612249,-1,0.428571428571429
10,2023,16841,140,165,0,PM,0,2.61666666666667,2.4,2.65,0.416666666666667,0.325828642338437,-1,-0.0943396226415094
10,2023,17068,500,450,0,PM,0,2.61666666666667,6,5.5,0.166666666666667,0.130331456935375,-1,0.0909090909090908
10,2023,17266,450,360,0,AM,1,2.61666666666667,5.5,4.6,0.181818181818182,0.142179771202227,-1,0.195652173913044
10,2023,17381,650,900,0,PM,0,2.61666666666667,7.5,10,0.133333333333333,0.1042651655483,-1,-0.25
10,2023,17488,-190,-150,0,PM,0,2.61666666666667,1.52631578947368,1.66666666666667,0.655172413793103,0.512337451401129,-1,-0.0842105263157895
10,2023,17508,1200,1200,0,PM,0,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,17511,190,230,1,AM,1,2.61666666666667,2.9,3.3,0.344827586206897,0.26965129021112,1.9,-0.121212121212121
10,2023,17543,450,450,0,PM,0,2.61666666666667,5.5,5.5,0.181818181818182,0.142179771202227,-1,0
10,2023,17550,320,350,0,PM,0,2.61666666666667,4.2,4.5,0.238095238095238,0.186187795621964,-1,-0.0666666666666667
10,2023,17639,1000,850,0,AM,1,2.61666666666667,11,9.5,0.0909090909090909,0.0710898856011136,-1,0.157894736842105
10,2023,17780,175,175,0,PM,0,2.61666666666667,2.75,2.75,0.363636363636364,0.284359542404454,-1,0
10,2023,17786,200,220,0,PM,0,2.61666666666667,3,3.2,0.333333333333333,0.26066291387075,-1,-0.0625
10,2023,18103,225,200,0,PM,0,2.61666666666667,3.25,3,0.307692307692308,0.240611920496077,-1,0.0833333333333333
10,2023,18187,700,450,1,AM,1,2.61666666666667,8,5.5,0.125,0.0977485927015312,7,0.454545454545455
10,2023,18424,900,1000,0,PM,0,2.61666666666667,10,11,0.1,0.0781988741612249,-1,-0.0909090909090909
10,2023,18554,260,250,0,PM,0,2.61666666666667,3.6,3.5,0.277777777777778,0.217219094892291,-1,0.0285714285714287
10,2023,18579,850,550,0,PM,0,2.61666666666667,9.5,6.5,0.105263157894737,0.0823146043802368,-1,0.461538461538462
10,2023,18635,250,220,0,AM,1,2.61666666666667,3.5,3.2,0.285714285714286,0.223425354746357,-1,0.09375
10,2023,19208,700,800,0,PM,0,2.61666666666667,8,9,0.125,0.0977485927015312,-1,-0.111111111111111
10,2023,19364,1100,900,0,PM,0,2.61666666666667,12,10,0.0833333333333333,0.0651657284676874,-1,0.2
10,2023,19395,1000,1000,0,PM,0,2.61666666666667,11,11,0.0909090909090909,0.0710898856011136,-1,0
10,2023,19430,1200,1200,0,AM,1,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,19477,400,320,0,AM,1,2.61666666666667,5,4.2,0.2,0.15639774832245,-1,0.19047619047619
10,2023,19840,1100,1100,0,AM,1,2.61666666666667,12,12,0.0833333333333333,0.0651657284676874,-1,0
10,2023,19865,240,275,0,AM,1,2.61666666666667,3.4,3.75,0.294117647058824,0.229996688709485,-1,-0.0933333333333334
10,2023,19870,130,150,0,PM,0,2.61666666666667,2.3,2.5,0.434782608695652,0.339995105048804,-1,-0.0800000000000001
10,2023,19872,280,280,0,AM,1,2.61666666666667,3.8,3.8,0.263157894736842,0.205786510950592,-1,0
10,2023,19948,330,360,1,AM,1,2.61666666666667,4.3,4.6,0.232558139534884,0.18185784688657,3.3,-0.0652173913043478
10,2023,20519,400,360,0,PM,0,2.61666666666667,5,4.6,0.2,0.15639774832245,-1,0.0869565217391306
10,2023,20706,400,400,0,PM,0,2.61666666666667,5,5,0.2,0.15639774832245,-1,0
10,2023,20722,550,450,0,PM,0,2.61666666666667,6.5,5.5,0.153846153846154,0.120305960248038,-1,0.181818181818182
10,2023,21235,1200,1200,0,PM,0,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,21237,400,500,1,AM,1,2.61666666666667,5,6,0.2,0.15639774832245,4,-0.166666666666667
10,2023,21554,165,170,0,AM,1,2.61666666666667,2.65,2.7,0.377358490566038,0.295090091174434,-1,-0.0185185185185186
10,2023,21688,350,230,0,AM,1,2.61666666666667,4.5,3.3,0.222222222222222,0.173775275913833,-1,0.363636363636364
10,2023,21756,500,360,1,PM,0,2.61666666666667,6,4.6,0.166666666666667,0.130331456935375,5,0.304347826086957
10,2023,21880,1100,1100,0,PM,0,2.61666666666667,12,12,0.0833333333333333,0.0651657284676874,-1,0
10,2023,21943,650,600,0,PM,0,2.61666666666667,7.5,7,0.133333333333333,0.1042651655483,-1,0.0714285714285714
10,2023,22050,260,300,1,PM,0,2.61666666666667,3.6,4,0.277777777777778,0.217219094892291,2.6,-0.1
10,2023,22051,120,120,0,AM,1,2.61666666666667,2.2,2.2,0.454545454545455,0.355449428005568,-1,0
10,2023,22535,700,600,0,PM,0,2.61666666666667,8,7,0.125,0.0977485927015312,-1,0.142857142857143
10,2023,22833,900,850,0,PM,0,2.61666666666667,10,9.5,0.1,0.0781988741612249,-1,0.0526315789473684
10,2023,22914,850,750,0,PM,0,2.61666666666667,9.5,8.5,0.105263157894737,0.0823146043802368,-1,0.117647058823529
10,2023,22981,1200,1200,0,AM,1,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,23475,750,500,0,AM,1,2.61666666666667,8.5,6,0.117647058823529,0.091998675483794,-1,0.416666666666667
10,2023,23482,360,450,0,AM,1,2.61666666666667,4.6,5.5,0.217391304347826,0.169997552524402,-1,-0.163636363636364
10,2023,23505,1400,1400,0,AM,1,2.61666666666667,15,15,0.0666666666666667,0.05213258277415,-1,0
10,2023,23599,900,750,0,AM,1,2.61666666666667,10,8.5,0.1,0.0781988741612249,-1,0.176470588235294
10,2023,23656,1200,1200,0,PM,0,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,24342,240,300,0,AM,1,2.61666666666667,3.4,4,0.294117647058824,0.229996688709485,-1,-0.15
10,2023,24481,700,700,0,PM,0,2.61666666666667,8,8,0.125,0.0977485927015312,-1,0
10,2023,24968,250,230,0,AM,1,2.61666666666667,3.5,3.3,0.285714285714286,0.223425354746357,-1,0.0606060606060606
10,2023,25002,550,550,1,PM,0,2.61666666666667,6.5,6.5,0.153846153846154,0.120305960248038,5.5,0
10,2023,25157,225,230,1,PM,0,2.61666666666667,3.25,3.3,0.307692307692308,0.240611920496077,2.25,-0.0151515151515151
10,2023,25213,330,240,1,PM,0,2.61666666666667,4.3,3.4,0.232558139534884,0.18185784688657,3.3,0.264705882352941
10,2023,25363,260,210,0,AM,1,2.61666666666667,3.6,3.1,0.277777777777778,0.217219094892291,-1,0.161290322580645
10,2023,25569,550,350,0,PM,0,2.61666666666667,6.5,4.5,0.153846153846154,0.120305960248038,-1,0.444444444444444
10,2023,26096,500,600,0,PM,0,2.61666666666667,6,7,0.166666666666667,0.130331456935375,-1,-0.142857142857143
10,2023,26653,500,450,0,AM,1,2.61666666666667,6,5.5,0.166666666666667,0.130331456935375,-1,0.0909090909090908
10,2023,26660,250,220,0,AM,1,2.61666666666667,3.5,3.2,0.285714285714286,0.223425354746357,-1,0.09375
10,2023,27194,360,360,0,PM,0,2.61666666666667,4.6,4.6,0.217391304347826,0.169997552524402,-1,0
10,2023,27780,1200,1200,0,PM,0,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,27870,1800,1600,0,AM,1,2.61666666666667,19,17,0.0526315789473684,0.0411573021901184,-1,0.117647058823529
10,2023,28077,3000,2200,0,AM,1,2.61666666666667,31,23,0.032258064516129,0.0252254432778145,-1,0.347826086956522
10,2023,28309,450,700,0,AM,1,2.61666666666667,5.5,8,0.181818181818182,0.142179771202227,-1,-0.3125
10,2023,28558,1200,1200,0,PM,0,2.61666666666667,13,13,0.0769230769230769,0.0601529801240192,-1,0
10,2023,29304,3500,3000,0,PM,0,2.61666666666667,36,31,0.0277777777777778,0.0217219094892292,-1,0.161290322580645
10,2023,29767,1800,1400,1,PM,0,2.61666666666667,19,15,0.0526315789473684,0.0411573021901184,18,0.266666666666667
10,2024,5716,1000,900,0,PM,0,5.23333333333333,11,10,0.0909090909090909,0.0693376177159234,-1,0.1
10,2024,6093,225,240,0,PM,0,5.23333333333333,3.25,3.4,0.307692307692308,0.234681167653895,-1,-0.0441176470588235
10,2024,6169,450,550,0,PM,0,5.23333333333333,5.5,6.5,0.181818181818182,0.138675235431847,-1,-0.153846153846154
10,2024,6252,600,700,0,PM,0,5.23333333333333,7,8,0.142857142857143,0.108959113553594,-1,-0.125
10,2024,6789,9000,5000,0,PM,0,5.23333333333333,91,51,0.010989010989011,0.00838147027335338,-1,0.784313725490196
10,2024,6986,750,1000,0,AM,1,5.23333333333333,8.5,11,0.117647058823529,0.089731034691195,-1,-0.227272727272727
10,2024,7399,300,300,0,PM,0,5.23333333333333,4,4,0.25,0.190678448718789,-1,0
10,2024,7489,850,1000,0,AM,1,5.23333333333333,9.5,11,0.105263157894737,0.0802856626184376,-1,-0.136363636363636
10,2024,7655,750,1000,0,AM,1,5.23333333333333,8.5,11,0.117647058823529,0.089731034691195,-1,-0.227272727272727
10,2024,7820,650,600,0,AM,1,5.23333333333333,7.5,7,0.133333333333333,0.101695172650021,-1,0.0714285714285714
10,2024,7959,6000,3500,0,AM,1,5.23333333333333,61,36,0.0163934426229508,0.012503504834019,-1,0.694444444444445
10,2024,7960,230,210,0,PM,0,5.23333333333333,3.3,3.1,0.303030303030303,0.231125392386411,-1,0.064516129032258
10,2024,8480,750,1000,0,PM,0,5.23333333333333,8.5,11,0.117647058823529,0.089731034691195,-1,-0.227272727272727
10,2024,8820,3000,3000,0,AM,1,5.23333333333333,31,31,0.032258064516129,0.0246036708024244,-1,0
10,2024,9171,800,700,0,AM,1,5.23333333333333,9,8,0.111111111111111,0.0847459772083508,-1,0.125
10,2024,9586,900,1000,1,PM,0,5.23333333333333,10,11,0.1,0.0762713794875157,9,-0.0909090909090909
10,2024,10091,-200,-200,0,AM,1,5.23333333333333,1.5,1.5,0.666666666666667,0.508475863250105,-1,0
10,2024,10419,220,230,1,PM,0,5.23333333333333,3.2,3.3,0.3125,0.238348060898487,2.2,-0.0303030303030302
10,2024,10423,3500,2800,0,AM,1,5.23333333333333,36,29,0.0277777777777778,0.0211864943020877,-1,0.241379310344828
10,2024,10498,3500,3500,0,PM,0,5.23333333333333,36,36,0.0277777777777778,0.0211864943020877,-1,0
10,2024,10873,1400,1600,1,PM,0,5.23333333333333,15,17,0.0666666666666667,0.0508475863250105,14,-0.117647058823529
10,2024,10943,650,550,0,PM,0,5.23333333333333,7.5,6.5,0.133333333333333,0.101695172650021,-1,0.153846153846154
10,2024,11276,280,360,1,AM,1,5.23333333333333,3.8,4.6,0.263157894736842,0.200714156546094,2.8,-0.173913043478261
