player_name,odds,model_prob,market_prob,edge,ev,units,sg_last_24
"Clark, Wyndham",465,0.453,0.177,0.276,1.28,2,0.68
"Noren, Alex",315,0.625,0.241,0.384,1.21,2.5,1.13
"Hatton, Tyrrell",210,0.897,0.323,0.575,1.21,4,1.62
"Kim, Michael",420,0.473,0.192,0.281,1.18,2,0.87
"Fox, Ryan",410,0.47,0.196,0.274,1.12,2,0.65
"Bhatia, Akshay",172,0.939,0.368,0.572,0.98,4,1.8
"Stevens, Sam",350,0.503,0.222,0.281,0.98,2.5,0.84
"Taylor, Nick",355,0.426,0.22,0.207,0.73,2,0.76
"Thomas, Justin",188,0.727,0.347,0.38,0.71,3,1.28
"Lowry, Shane",182,0.741,0.355,0.387,0.7,3,1.23
"Burns, Sam",196,0.601,0.338,0.263,0.52,2.5,1.12
"English, Harris",235,0.496,0.299,0.198,0.46,2,0.55
"Hovland, Viktor",154,0.678,0.394,0.284,0.44,3,1.31
"Willett, Danny",1800,0.072,0.053,0.019,0.34,1,-0.32
"Henley, Russell",134,0.673,0.427,0.246,0.33,3,0.82
"Matsuyama, Hideki",-104,0.849,0.51,0.339,0.33,4,1.25
"Bradley, Keegan",300,0.338,0.25,0.088,0.26,1.5,0.55
"Schauffele, Xander",-146,0.843,0.593,0.249,0.17,4,1.66
"Greyserman, Max",435,0.216,0.187,0.029,0.13,1,0.41
"Rahm, Jon",-240,0.957,0.706,0.251,0.1,4,2.23
