edge_min,prob_min,ev_min,n_bets,n_wins,staked,pnl,roi,win_rate
0.045,0.05,0.05,636,92,636,-83.8,-13.18,14.5
0.025,0.08,0.15,675,91,675,-89.49,-13.26,13.5
0.015,0.08,0.15,689,92,689,-91.49,-13.28,13.4
0.035,0.06,0.2,636,86,636,-84.57,-13.3,13.5
0.035,0.07,0.2,636,86,636,-84.57,-13.3,13.5
0.035,0.09,0.1,666,94,666,-88.64,-13.31,14.1
0.02,0.06,0.05,764,109,764,-101.82,-13.33,14.3
0.02,0.07,0.05,764,109,764,-101.82,-13.33,14.3
0.035,0.08,0.15,644,88,644,-85.89,-13.34,13.7
0.01,0.08,0.15,690,92,690,-92.49,-13.4,13.3
0.045,0.03,0.1,632,90,632,-84.94,-13.44,14.2
0.045,0.04,0.1,632,90,632,-84.94,-13.44,14.2
0.045,0.05,0.1,632,90,632,-84.94,-13.44,14.2
0.035,0.08,0,679,98,679,-91.52,-13.48,14.4
0.02,0.06,0,768,110,768,-103.82,-13.52,14.3
0.02,0.07,0,768,110,768,-103.82,-13.52,14.3
0.035,0.08,0.05,677,97,677,-91.52,-13.52,14.3
0.035,0.05,0.2,638,86,638,-86.57,-13.57,13.5
0.025,0.05,0.2,670,89,670,-91.17,-13.61,13.3
0.01,0.03,0.2,704,91,704,-96.17,-13.66,12.9
0.01,0.04,0.2,704,91,704,-96.17,-13.66,12.9
0.02,0.05,0.05,768,109,768,-105.82,-13.78,14.2
0.01,0.06,0.1,772,105,772,-106.54,-13.8,13.6
0.01,0.07,0.1,772,105,772,-106.54,-13.8,13.6
0.035,0.08,0.1,670,94,670,-92.64,-13.83,14
0.01,0.09,0.05,781,111,781,-108.17,-13.85,14.2
0.02,0.06,0.1,746,103,746,-103.54,-13.88,13.8
0.02,0.07,0.1,746,103,746,-103.54,-13.88,13.8
0.02,0.05,0,772,110,772,-107.82,-13.97,14.2
0.04,0.06,0.15,638,87,638,-90.69,-14.21,13.6
0.04,0.07,0.15,638,87,638,-90.69,-14.21,13.6
0.01,0.09,0,799,116,799,-114.1,-14.28,14.5
0.01,0.06,0.15,717,93,717,-102.49,-14.29,13
0.01,0.07,0.15,717,93,717,-102.49,-14.29,13
0.01,0.08,0.05,785,111,785,-112.17,-14.29,14.1
0.02,0.05,0.1,750,103,750,-107.54,-14.34,13.7
0.01,0.05,0.1,778,105,778,-112.54,-14.47,13.5
0.04,0.05,0.15,640,87,640,-92.69,-14.48,13.6
0.04,0.06,0.05,664,94,664,-96.9,-14.59,14.2
0.04,0.07,0.05,664,94,664,-96.9,-14.59,14.2
0.04,0.06,0.1,658,92,658,-96.04,-14.6,14
0.04,0.07,0.1,658,92,658,-96.04,-14.6,14
0.01,0.08,0,803,116,803,-118.1,-14.71,14.4
0.04,0.06,0,665,94,665,-97.9,-14.72,14.1
0.04,0.07,0,665,94,665,-97.9,-14.72,14.1
0.015,0.06,0.1,761,104,761,-112.54,-14.79,13.7
0.015,0.07,0.1,761,104,761,-112.54,-14.79,13.7
0.015,0.06,0,801,115,801,-118.56,-14.8,14.4
0.015,0.07,0,801,115,801,-118.56,-14.8,14.4
0.04,0.05,0.05,666,94,666,-98.9,-14.85,14.1
0.04,0.05,0.1,660,92,660,-98.04,-14.85,13.9
0.03,0.06,0,721,102,721,-107.17,-14.86,14.1
0.03,0.07,0,721,102,721,-107.17,-14.86,14.1
0.03,0.06,0.05,719,101,719,-107.17,-14.91,14
0.03,0.07,0.05,719,101,719,-107.17,-14.91,14
0.03,0.06,0.1,710,98,710,-106.29,-14.97,13.8
0.03,0.07,0.1,710,98,710,-106.29,-14.97,13.8
0.04,0.05,0,667,94,667,-99.9,-14.98,14.1
0.01,0.05,0.15,723,93,723,-108.49,-15.01,12.9
0.03,0.06,0.15,678,90,678,-101.99,-15.04,13.3
0.03,0.07,0.15,678,90,678,-101.99,-15.04,13.3
0.01,0.06,0.05,812,112,812,-122.17,-15.05,13.8
0.01,0.07,0.05,812,112,812,-122.17,-15.05,13.8
0.015,0.06,0.05,792,111,792,-119.17,-15.05,14
0.015,0.07,0.05,792,111,792,-119.17,-15.05,14
0.02,0.03,0.2,696,90,696,-105.17,-15.11,12.9
0.02,0.04,0.2,696,90,696,-105.17,-15.11,12.9
0.04,0.03,0.2,638,85,638,-97.37,-15.26,13.3
0.04,0.04,0.2,638,85,638,-97.37,-15.26,13.3
0.015,0.05,0,806,115,806,-123.56,-15.33,14.3
0.03,0.05,0,725,102,725,-111.17,-15.33,14.1
0.015,0.05,0.1,766,104,766,-117.54,-15.34,13.6
0.03,0.05,0.05,723,101,723,-111.17,-15.38,14
0.01,0.06,0,830,117,830,-128.1,-15.43,14.1
0.01,0.07,0,830,117,830,-128.1,-15.43,14.1
0.03,0.05,0.1,714,98,714,-110.29,-15.45,13.7
0.02,0.06,0.15,707,92,707,-109.49,-15.49,13
0.02,0.07,0.15,707,92,707,-109.49,-15.49,13
0.025,0.06,0,748,105,748,-116.17,-15.53,14
0.025,0.07,0,748,105,748,-116.17,-15.53,14
0.03,0.05,0.15,682,90,682,-105.99,-15.54,13.2
0.025,0.06,0.05,746,104,746,-116.17,-15.57,13.9
0.025,0.07,0.05,746,104,746,-116.17,-15.57,13.9
0.035,0.06,0.15,661,88,661,-102.89,-15.57,13.3
0.035,0.07,0.15,661,88,661,-102.89,-15.57,13.3
0.015,0.05,0.05,797,111,797,-124.17,-15.58,13.9
0.035,0.06,0,696,98,696,-108.52,-15.59,14.1
0.035,0.07,0,696,98,696,-108.52,-15.59,14.1
0.015,0.03,0.2,700,90,700,-109.17,-15.6,12.9
0.015,0.04,0.2,700,90,700,-109.17,-15.6,12.9
0.035,0.06,0.05,694,97,694,-108.52,-15.64,14
0.035,0.07,0.05,694,97,694,-108.52,-15.64,14
0.03,0.03,0.2,675,88,675,-105.67,-15.65,13
0.03,0.04,0.2,675,88,675,-105.67,-15.65,13
0.01,0.05,0.05,818,112,818,-128.17,-15.67,13.7
0.025,0.06,0.1,733,100,733,-114.99,-15.69,13.6
0.025,0.07,0.1,733,100,733,-114.99,-15.69,13.6
0.035,0.05,0.15,663,88,663,-104.89,-15.82,13.3
0.035,0.05,0,698,98,698,-110.52,-15.83,14
0.035,0.05,0.05,696,97,696,-110.52,-15.88,13.9
0.02,0.05,0.15,711,92,711,-113.49,-15.96,12.9
0.035,0.06,0.1,687,94,687,-109.64,-15.96,13.7
0.035,0.07,0.1,687,94,687,-109.64,-15.96,13.7
0.025,0.05,0,752,105,752,-120.17,-15.98,14
0.025,0.06,0.15,697,91,697,-111.49,-16,13.1
0.025,0.07,0.15,697,91,697,-111.49,-16,13.1
0.025,0.05,0.05,750,104,750,-120.17,-16.02,13.9
0.01,0.05,0,836,117,836,-134.1,-16.04,14
0.025,0.03,0.2,690,89,690,-111.17,-16.11,12.9
0.025,0.04,0.2,690,89,690,-111.17,-16.11,12.9
0.025,0.05,0.1,737,100,737,-118.99,-16.15,13.6
0.02,0.03,0.05,790,109,790,-127.82,-16.18,13.8
0.02,0.04,0.05,790,109,790,-127.82,-16.18,13.8
0.015,0.06,0.15,713,92,713,-115.49,-16.2,12.9
0.015,0.07,0.15,713,92,713,-115.49,-16.2,12.9
0.035,0.03,0.2,658,86,658,-106.57,-16.2,13.1
0.035,0.04,0.2,658,86,658,-106.57,-16.2,13.1
0.035,0.05,0.1,689,94,689,-111.64,-16.2,13.6
0.02,0.03,0,794,110,794,-129.82,-16.35,13.9
0.02,0.04,0,794,110,794,-129.82,-16.35,13.9
0.025,0.05,0.15,701,91,701,-115.49,-16.48,13
0.015,0.05,0.15,718,92,718,-120.49,-16.78,12.8
0.02,0.03,0.1,772,103,772,-129.54,-16.78,13.3
0.02,0.04,0.1,772,103,772,-129.54,-16.78,13.3
0.04,0.03,0.15,659,87,659,-111.69,-16.95,13.2
0.04,0.04,0.15,659,87,659,-111.69,-16.95,13.2
0.01,0.03,0.1,802,105,802,-136.54,-17.02,13.1
0.01,0.04,0.1,802,105,802,-136.54,-17.02,13.1
0.04,0.03,0.05,685,94,685,-117.9,-17.21,13.7
0.04,0.04,0.05,685,94,685,-117.9,-17.21,13.7
0.04,0.03,0.1,679,92,679,-117.04,-17.24,13.5
0.04,0.04,0.1,679,92,679,-117.04,-17.24,13.5
0.04,0.03,0,686,94,686,-118.9,-17.33,13.7
0.04,0.04,0,686,94,686,-118.9,-17.33,13.7
0.03,0.03,0,745,102,745,-131.17,-17.61,13.7
0.03,0.04,0,745,102,745,-131.17,-17.61,13.7
0.03,0.03,0.05,743,101,743,-131.17,-17.65,13.6
0.03,0.04,0.05,743,101,743,-131.17,-17.65,13.6
0.015,0.03,0,829,115,829,-146.56,-17.68,13.9
0.015,0.04,0,829,115,829,-146.56,-17.68,13.9
0.01,0.03,0.15,747,93,747,-132.49,-17.74,12.4
0.01,0.04,0.15,747,93,747,-132.49,-17.74,12.4
0.03,0.03,0.1,734,98,734,-130.29,-17.75,13.4
0.03,0.04,0.1,734,98,734,-130.29,-17.75,13.4
0.015,0.03,0.1,789,104,789,-140.54,-17.81,13.2
0.015,0.04,0.1,789,104,789,-140.54,-17.81,13.2
0.015,0.03,0.05,820,111,820,-147.17,-17.95,13.5
0.015,0.04,0.05,820,111,820,-147.17,-17.95,13.5
0.03,0.03,0.15,702,90,702,-125.99,-17.95,12.8
0.03,0.04,0.15,702,90,702,-125.99,-17.95,12.8
0.01,0.03,0.05,842,112,842,-152.17,-18.07,13.3
0.01,0.04,0.05,842,112,842,-152.17,-18.07,13.3
0.025,0.03,0,772,105,772,-140.17,-18.16,13.6
0.025,0.04,0,772,105,772,-140.17,-18.16,13.6
0.035,0.03,0,718,98,718,-130.52,-18.18,13.6
0.035,0.04,0,718,98,718,-130.52,-18.18,13.6
0.025,0.03,0.05,770,104,770,-140.17,-18.2,13.5
0.025,0.04,0.05,770,104,770,-140.17,-18.2,13.5
0.035,0.03,0.05,716,97,716,-130.52,-18.23,13.5
0.035,0.04,0.05,716,97,716,-130.52,-18.23,13.5
0.035,0.03,0.15,683,88,683,-124.89,-18.29,12.9
0.035,0.04,0.15,683,88,683,-124.89,-18.29,12.9
0.025,0.03,0.1,757,100,757,-138.99,-18.36,13.2
0.025,0.04,0.1,757,100,757,-138.99,-18.36,13.2
0.01,0.03,0,860,117,860,-158.1,-18.38,13.6
0.01,0.04,0,860,117,860,-158.1,-18.38,13.6
0.02,0.03,0.15,733,92,733,-135.49,-18.48,12.6
0.02,0.04,0.15,733,92,733,-135.49,-18.48,12.6
0.035,0.03,0.1,709,94,709,-131.64,-18.57,13.3
0.035,0.04,0.1,709,94,709,-131.64,-18.57,13.3
0.025,0.03,0.15,721,91,721,-135.49,-18.79,12.6
0.025,0.04,0.15,721,91,721,-135.49,-18.79,12.6
0.015,0.03,0.15,741,92,741,-143.49,-19.36,12.4
0.015,0.04,0.15,741,92,741,-143.49,-19.36,12.4
