course_name,event_id,year,event_name,n,am_tee,pm_tee,am_score,pm_score,r1_date,gap_score,lat,lon,am_wind,pm_wind,am_gust,pm_gust,wind_gap,gust_gap
ACCORDIA GOLF Narashino Country Club,527,2024,ZOZO CHAMPIONSHIP,78,9.20833333333333,10.4,69.3611111111111,68.9285714285714,2024-10-24,-0.432539682539684,35.776,140.151,9.53333333333333,9.31666666666667,19.0166666666667,19.0166666666667,-0.216666666666667,0
Accordia Golf Narashino CC,527,2021,ZOZO CHAMPIONSHIP,78,8.95833333333333,10.15,70.4166666666667,70.2380952380953,2021-10-21,-0.178571428571431,35.776,140.151,2.05,2.31666666666667,8.26666666666667,8.7,0.266666666666667,0.433333333333334
Accordia Golf Narashino Country Club,527,2022,ZOZO CHAMPIONSHIP,78,9.29166666666667,10.4833333333333,70.7222222222222,70.2619047619048,2022-10-13,-0.460317460317469,35.776,140.151,8.61666666666667,9.13333333333333,16.65,16.85,0.516666666666666,0.200000000000003
Arnold Palmer's Bay Hill Club & Lodge,9,2023,Arnold Palmer Invitational presented by Mastercard,120,7.86666666666667,12.7,72.3,72.0666666666667,2023-03-02,-0.233333333333334,28.456,-81.508,5.86666666666667,7.73333333333333,11.6333333333333,18.2,1.86666666666667,6.56666666666667
Arnold Palmer's Bay Hill Club & Lodge,9,2024,Arnold Palmer Invitational presented by Mastercard,69,9.08333333333333,12.1666666666667,70.7272727272727,72.2222222222222,2024-03-07,1.49494949494949,28.456,-81.508,3.3,2.65,10,9.23333333333333,-0.65,-0.766666666666668
Arnold Palmer's Bay Hill Club & Lodge,9,2025,Arnold Palmer Invitational presented by Mastercard,72,9.16666666666667,12.3333333333333,75.6111111111111,73.6388888888889,2025-03-06,-1.97222222222223,28.456,-81.508,12.7166666666667,11.8333333333333,26.2166666666667,25.6666666666667,-0.883333333333333,-0.550000000000001
Augusta National Golf Club,14,2022,The Masters,90,9.78333333333333,13.0833333333333,74.4186046511628,73.2978723404255,2022-04-07,-1.12073231073727,33.500558,-82.0225816,11.55,15.8833333333333,22.15,29.5,4.33333333333333,7.35
Augusta National Golf Club,14,2023,Masters Tournament,86,9.4,12.6,72.7209302325582,71.953488372093,2023-04-06,-0.767441860465127,33.500558,-82.0225816,5.61666666666667,4.96666666666667,13.3333333333333,12.8166666666667,-0.65,-0.516666666666668
Augusta National Golf Club,14,2024,Masters Tournament,89,11.9,15.1,72.6136363636364,74.2222222222222,2024-04-11,1.60858585858587,33.500558,-82.0225816,18.75,18.7833333333333,38.2833333333333,37.95,0.0333333333333314,-0.333333333333329
Augusta National Golf Club,14,2025,Masters Tournament,95,9.23333333333333,12.275,73.6170212765958,73.5625,2025-04-10,-0.0545212765957501,33.500558,-82.0225816,4.68333333333333,7.5,13.2166666666667,18.35,2.81666666666667,5.13333333333334
Bay Hill Club & Lodge,9,2021,Arnold Palmer Invitational presented by Mastercard,123,7.825,12.4,73.3,73.031746031746,2021-03-04,-0.268253968253958,28.456,-81.508,8.06666666666667,7.86666666666667,16.8666666666667,18.5666666666667,-0.199999999999999,1.7
Bay Hill Club & Lodge,9,2022,Arnold Palmer Invitational presented by Mastercard,120,7.99166666666667,12.4916666666667,72.1,72.4833333333333,2022-03-03,0.38333333333334,28.456,-81.508,2.2,3.11666666666667,7.63333333333333,10.8166666666667,0.916666666666666,3.18333333333333
Black Desert Resort,554,2024,Black Desert Championship,131,8.66666666666667,13.4583333333333,68.1692307692308,69.6969696969697,2024-10-10,1.52773892773894,37.23,-113.29,3.61666666666667,6.6,10.6666666666667,15.95,2.98333333333333,5.28333333333333
Black Desert Resort,554,2025,Bank of Utah Championship,131,8.74166666666667,13.75,69.6,70.830985915493,2025-10-23,1.23098591549297,37.23,-113.29,5.13333333333333,7.88333333333333,14.4666666666667,20.0166666666667,2.75,5.55
Castle Pines Golf Club,28,2024,BMW Championship,50,8.33333333333333,10.5833333333333,71.5,72.3846153846154,2024-08-22,0.884615384615387,39.4490851,-104.9029587,5.4,5.08333333333333,15.85,17.2166666666667,-0.316666666666667,1.36666666666667
Caves Valley Golf Club,28,2021,BMW Championship,69,10.6666666666667,13.1333333333333,69.5757575757576,68.8888888888889,2021-08-26,-0.686868686868692,39.4464308,-76.7385259,2.53333333333333,3.85,10.75,12.9666666666667,1.31666666666667,2.21666666666667
Caves Valley Golf Club,28,2025,BMW Championship,49,10.45,12.8166666666667,71.0434782608696,70.4230769230769,2025-08-14,-0.620401337792643,39.4464308,-76.7385259,3.08333333333333,3.3,12.2333333333333,12.0166666666667,0.216666666666666,-0.216666666666667
Colonial Country Club,21,2021,Charles Schwab Challenge,121,8.08333333333333,12.7333333333333,71.1206896551724,70.7460317460318,2021-05-27,-0.374657909140666,32.7192029,-97.3719937,15.3833333333333,17.2833333333333,26.5166666666667,30.6666666666667,1.9,4.15
