threshold,num_bets,wins,losses,win_rate,avg_model_prob,total_staked,total_return,profit,roi,expected_wins,calibration_error
0.15,13,1,12,0.0769230769230769,0.243222953931204,13,4,-9,-69.2307692307692,3.16189840110565,2.16189840110565
0.2,9,1,8,0.111111111111111,0.268673012312045,9,4,-5,-55.5555555555556,2.41805711080841,1.41805711080841
0.25,5,0,5,0,0.303507262674911,5,0,-5,-100,1.51753631337455,1.51753631337455
0.3,4,0,4,0,0.305202941128413,4,0,-4,-100,1.22081176451365,1.22081176451365
