"game_id","season","week","week_period","start_date","home_team","away_team","spread","spread_feature","over_under","line_movement","sharp_home_signal","sharp_away_signal","home_covered","over_hit","spread_prob","totals_prob","actual_margin","home_score","away_score","total_points","conference_tier","bye_adv","elo_diff"
401282088,2021,4,"mid",2021-09-25 16:00:00,"Vanderbilt","Georgia",36,36,54,0,0,0,0,1,0.614298573763408,0.735135820540683,-62,0,62,62,2,0,-392.35563974734
401282089,2021,5,"mid",2021-10-02 19:30:00,"Alabama","Ole Miss",-15,-15,79.5,0,0,0,1,0,0.718004347012823,0.205836652706767,21,42,21,63,2,-1,197.630310828343
401282090,2021,5,"mid",2021-10-02 16:00:00,"Georgia","Arkansas",-16.5,-16.5,48.5,0,0,0,1,0,0.220681377183449,0.550008987773337,37,37,0,37,2,0,152.148614862413
401282091,2021,5,"mid",2021-10-02 22:00:00,"Kentucky","Florida",7.5,7.5,56.5,0,0,0,1,0,0.303261047167568,0.485817171888725,7,20,13,33,2,0,-84.5887715989988
401282092,2021,5,"mid",2021-10-03 01:00:00,"LSU","Auburn",-3,-3,56,0,0,0,0,0,0.487701816117254,0.445147586866119,-5,19,24,43,2,0,2.11734554822897
401282093,2021,5,"mid",2021-10-02 16:00:00,"Missouri","Tennessee",-2.5,-2.5,66,0,0,0,0,1,0.69008112670622,0.295625876875562,-38,24,62,86,2,0,21.3366515161583
401282094,2021,5,"mid",2021-10-02 19:30:00,"South Carolina","Troy",-6.5,-6.5,43.5,0,0,0,1,0,0.261054370168121,0.697001888367201,9,23,14,37,1,0,-83.9191060605165
401282095,2021,5,"mid",2021-10-02 23:00:00,"Texas A&M","Mississippi State",-7,-7,45.5,0,0,0,0,1,0.240900940709645,0.80297809883283,-4,22,26,48,2,0,159.675690603927
401282096,2021,5,"mid",2021-10-02 23:30:00,"Vanderbilt","UConn",-14.5,-14.5,51,0,0,0,0,1,0.358259773749687,0.57096512416159,2,30,28,58,1,0,-30.1297176413564
401282097,2021,6,"mid",2021-10-09 19:30:00,"Auburn","Georgia",14.5,14.5,45.5,0,0,0,0,0,0.45761184479277,0.685940161861383,-24,10,34,44,2,0,-103.17519724505
401282098,2021,6,"mid",2021-10-09 16:00:00,"Florida","Vanderbilt",-39,-39,60,0,0,0,1,0,0.171741217483994,0.763448206893866,42,42,0,42,2,0,333.906515875801
401282099,2021,6,"mid",2021-10-09 23:30:00,"Kentucky","LSU",-2,-2,50.5,0,0,0,1,1,0.58270714716142,0.496529250389393,21,42,21,63,2,0,16.4531787989206
401282100,2021,6,"mid",2021-10-09 16:00:00,"Ole Miss","Arkansas",-5,-5,66.5,0,0,0,0,1,0.724326268034024,0.584287051532314,1,52,51,103,2,0,18.2709426694655
401282101,2021,6,"mid",2021-10-09 20:00:00,"Missouri","North Texas",-18.5,-18.5,69,0,0,0,0,1,0.663207580897218,0.41535530461722,13,48,35,83,1,-1,44.7527724360716
401282102,2021,6,"mid",2021-10-09 16:00:00,"Tennessee","South Carolina",-10.5,-10.5,56.5,0,0,0,1,1,0.665780067335716,0.363786169901145,25,45,20,65,2,0,66.4362904720244
