"game_id","season","week","home_team","away_team","spread","spread_feature","over_under","line_movement","actual_margin","total_points","home_covered","over_hit","proj_margin_A","proj_total_A","proj_margin_B","proj_total_B","proj_margin_C","proj_total_C","A_spread_prob","A_totals_prob","B_spread_prob","B_totals_prob","C_spread_prob","C_totals_prob","BENCH_spread_prob","BENCH_totals_prob"
401281942,2021,1,"Miami","Alabama",19.5,19.5,61.5,0,-31,57,0,0,-17.7219917718266,60.1748008381095,-4.24993371963501,63.3693923950195,-28.1803302764893,63.6126937866211,0.538509641091264,0.469177497961578,0.824219793015368,0.554753242059054,0.227040791311993,0.56920795666009,NA,NA
401281943,2021,1,"Arkansas","Rice",-19.5,-19.5,50,0,21,55,1,1,-3.45636058517424,48.6326980049245,1.43067264556885,58.3249206542969,11.1049432754517,48.3294792175293,0.105968056235047,0.468200282492024,0.134843317212386,0.730103485042452,0.234525315063497,0.445173143808933,NA,NA
401281944,2021,1,"Auburn","Akron",-37,-37,56,0,50,70,1,1,14.7704026080908,51.1648719637108,-1.72406721115112,54.887336730957,33.3590621948242,54.9029312133789,0.113381119516754,0.388904944711943,0.00900283003761516,0.467344405559044,0.376756867043245,0.463929154140198,NA,NA
401281945,2021,1,"Florida","Florida Atlantic",-23.5,-23.5,52,0,21,49,0,0,6.24928092234521,54.7864602003707,-4.14835405349731,60.9370651245117,16.0098133087158,50.5001602172852,0.174118798384035,0.564589457698798,0.0456164474288236,0.744798437316682,0.259144583677595,0.450744754244822,NA,NA
401281946,2021,1,"Clemson","Georgia",-2.5,-2.5,51.5,0,-7,13,0,0,-1.10295428764509,51.0991451879008,-1.7967004776001,67.5503082275391,-4.27776145935059,54.9453506469727,0.422339612748835,0.490668166479777,0.396480089049699,0.881416334284457,0.279427745780341,0.611925307745775,NA,NA
401281947,2021,1,"Kentucky","UL Monroe",-31,-31,54,0,35,55,1,1,7.74785428799752,53.8715336708789,0.534985482692719,60.2994613647461,34.0528831481934,53.8150901794434,0.103053522562855,0.497009080409178,0.0313728999471742,0.678658930360145,0.603837753170196,0.493912224681211,NA,NA
401281948,2021,1,"UCLA","LSU",2,2,63.5,0,11,65,1,1,-6.22881125663943,59.1206734948345,6.43351125717163,55.5057487487793,-2.46962666511536,60.1967315673828,0.409068055288782,0.399139879965198,0.696782953243836,0.27800699037784,0.483846234416683,0.392574699268386,NA,NA
401281949,2021,1,"Mississippi State","Louisiana Tech",-20.5,-20.5,53,0,1,69,0,1,-3.91966910112332,52.9381936804272,1.87791693210602,56.2953300476074,14.2028789520264,48.9462776184082,0.0921176056299046,0.498561031017117,0.127654181309813,0.595880830466857,0.293533950842694,0.368982749525188,NA,NA
401281950,2021,1,"Missouri","Central Michigan",-14,-14,59,0,10,58,0,0,-6.63603789871375,52.7572676545003,5.70329713821411,55.7820854187012,13.8048553466797,55.8329086303711,0.130911868646362,0.357809180302928,0.306142979441677,0.406329285079123,0.493286083892252,0.396901208680212,NA,NA
401281952,2021,1,"Tennessee","Bowling Green",-37,-37,60.5,0,32,44,0,0,9.29875711090579,49.7236207382296,-5.79573249816895,60.7915649414062,33.5703926086426,59.6905670166016,0.0659997378421725,0.264706932008352,0.00447152165261618,0.508566070063044,0.383697672588187,0.473369857792427,NA,NA
401282049,2021,1,"New Mexico State","UTEP",9.5,9.5,59.5,0,-27,33,0,0,-8.2837768708441,55.067425024552,1.07126915454865,63.8922920227051,-15.1452665328979,63.9826889038086,0.526363837438179,0.397940463969747,0.740781779068219,0.626837903623988,0.313174782628042,0.644290443670244,NA,NA
401282052,2021,1,"Charlotte","Duke",6.5,6.5,60.5,0,3,59,1,0,-5.54185415845914,56.1333237090689,-4.81825399398804,59.4718856811523,-13.1556930541992,61.1322975158691,0.520775286553027,0.399424965157673,0.540911877090905,0.469820901989395,0.282978944619617,0.520808458361769,NA,NA
401282053,2021,1,"Texas A&M","Kent State",-29.5,-29.5,66,0,31,51,1,0,4.40427753541441,63.731785551053,5.56547975540161,58.6208610534668,33.3966445922852,56.0186233520508,0.0861913243682974,0.447345342742831,0.0718615391736396,0.293403231402056,0.631588258018186,0.205040571548497,NA,NA
401282055,2021,1,"Ole Miss","Louisville",-9,-9,74.5,0,19,67,1,0,-6.45566320147633,69.5797403870341,4.65626668930054,57.610050201416,10.4201669692993,81.0143814086914,0.200340243994742,0.387001614100951,0.395373134096412,0.106761584494117,0.548740995490323,0.704581655489467,NA,NA
401282057,2021,2,"Arkansas","Texas",6,6,57.5,0,19,61,1,1,0.889848067171467,59.0932744871649,6.0523567199707,60.9379043579102,-9.13450622558594,65.6022644042969,0.64475738181498,0.537283226434846,0.769205027327055,0.599943103494736,0.393452096739896,0.748146996365897,0.464566929146157,0.348135607561808
401282059,2021,2,"South Florida","Florida",28.5,28.5,57.5,0,-22,62,1,1,-14.4438446571783,56.8724156435863,3.77565503120422,53.7644309997559,-23.4784507751465,63.3892097473145,0.775566050235732,0.485296176213346,0.975671982151287,0.391610993920455,0.667521415417808,0.686526803788985,0.464566929146157,0.810264603125576
401282060,2021,2,"Georgia","UAB",-22.5,-22.5,44,0,49,63,1,1,14.0087980442089,38.0335641556131,10.1408700942993,60.8296508789062,23.4382495880127,44.3423004150391,0.323662801761835,0.3629897900077,0.225133228606758,0.892418858035234,0.532246634750584,0.511268475353169,0.464566929146157,0.498386201855833
401282061,2021,2,"Kentucky","Missouri",-5.5,-5.5,56.5,0,7,63,1,1,11.9747675098318,52.1075812860034,9.17116451263428,59.6342620849609,14.9581146240234,58.4496612548828,0.636395725890697,0.39819646061239,0.58872136153977,0.591279182634064,0.792666172286381,0.563915165700143,0.464566929146157,0.500729383542594
401282064,2021,2,"Mississippi State","NC State",1.5,1.5,55.5,0,14,34,1,0,-0.133473038716082,54.167933354726,5.52719783782959,46.7608261108398,2.37730979919434,52.3379287719727,0.529345372305984,0.468815448698833,0.666134448781459,0.259905902018275,0.630959365321801,0.397060951006692,0.464566929146157,0.520568270790897
401282065,2021,2,"East Carolina","South Carolina",2.5,2.5,56.5,0,-3,37,0,0,2.13957796660139,56.8946115390349,10.6822471618652,56.2301025390625,-0.421038895845413,58.9260330200195,0.598693423926386,0.509246714148356,0.789662830274199,0.492070425288766,0.571148240065885,0.579344777770752,0.464566929146157,0.428350660736217
401282066,2021,2,"Tennessee","Pittsburgh",3.5,3.5,56,0,-7,75,0,1,2.57944410681175,44.4582945923699,12.1269979476929,54.8304328918457,0.0465698018670082,52.4565734863281,0.628371133898043,0.248892395308491,0.830108004538996,0.465678358726576,0.620148539316159,0.384977151810474,0.464566929146157,0.500881013075378
401282067,2021,2,"Colorado","Texas A&M",17,17,50,0,-3,17,1,0,1.22524574334984,53.8468122348372,5.85215282440186,58.0885009765625,-12.4045543670654,54.2529678344727,0.836930843159248,0.589386951506159,0.918635009910001,0.724316786464479,0.654069326928848,0.637202918581413,0.464566929146157,0.660456439782882
401282068,2021,2,"Colorado State","Vanderbilt",-6.5,-6.5,52,0,-3,45,0,0,17.050103251937,51.3114842690826,-5.8327956199646,66.7076797485352,6.19709444046021,59.414852142334,0.715121061340578,0.483869344270625,0.225616140238848,0.86064301661134,0.489579282930612,0.729710844249349,0.464566929146157,0.691056665753396
401282069,2021,3,"Arkansas","Georgia Southern",-23,-23,52.5,0,35,55,1,1,16.3309057827415,56.868284327207,2.36928963661194,57.0043411254883,29.7614860534668,55.0034980773926,0.359417936010356,0.60108195224765,0.103789711986026,0.629958086547591,0.720100025237515,0.5818430264537,0.464566929146157,0.556085634597571
401282070,2021,3,"Penn State","Auburn",-4,-4,52.5,0,8,48,1,0,8.71897101763841,52.5759294180527,-4.20511198043823,50.9495658874512,11.3182191848755,50.0534934997559,0.600538941803601,0.501776232415929,0.308108791004151,0.454544123827871,0.736029969746307,0.419994637230503,0.464566929146157,0.73655079801427
401282071,2021,3,"Florida","Alabama",14,14,60,0,-2,60,1,0,1.03798099030776,65.2839024333639,-0.0817835405468941,63.712230682373,-16.1091461181641,63.4429740905762,0.791543741059719,0.621658248741395,0.802395653874851,0.607728593541726,0.427830000927439,0.611850159392984,0.464566929146157,0.353778577821568
401282072,2021,3,"Georgia","South Carolina",-31.5,-31.5,47.5,0,27,53,0,1,24.859164297651,42.3371742995412,10.2080326080322,58.8061561584473,35.6117362976074,45.5237426757812,0.35998847807592,0.381044338983374,0.0966903479031903,0.797490888802269,0.638560321141491,0.435220595004199,0.464566929146157,0.822788948021043
401282074,2021,3,"LSU","Central Michigan",-19.5,-19.5,60.5,0,28,70,1,1,8.30708520289334,56.1071361028043,3.8821804523468,53.1272201538086,15.5977458953857,58.6448364257812,0.272847806961051,0.398361711152107,0.170033855789752,0.293564442217485,0.368229350178665,0.439157977874412,0.464566929146157,0.454277327964482
401282075,2021,3,"Ole Miss","Tulane",-14,-14,77,0,40,82,1,1,16.9278194332411,67.8411012339441,9.40402793884277,64.0548553466797,17.3048763275146,88.4466018676758,0.562791816903703,0.295612426868914,0.389451098691375,0.170192947851921,0.612187995296849,0.827587356903204,0.464566929146157,0.0949894278399422
401282076,2021,3,"Memphis","Mississippi State",3.5,3.5,63.5,0,2,60,1,0,22.9202737850188,58.9303254100518,0.452926099300385,60.3884124755859,-5.80458402633667,62.111743927002,0.923099758195994,0.394365910316805,0.59540409656083,0.409369647873846,0.421226451976696,0.454392551381472,0.464566929146157,0.65531044453818
401282079,2021,3,"Texas A&M","New Mexico",-30,-30,49.5,0,34,34,1,0,35.4819176945929,50.2889311581964,-5.3073410987854,55.7793884277344,24.5900325775146,44.3204498291016,0.616357535598657,0.518449108199564,0.0155111211318027,0.678129147202554,0.320400883291711,0.334521443141219,0.464566929146157,0.694971700128061
401282080,2021,3,"Vanderbilt","Stanford",12.5,12.5,49,0,-18,64,0,1,-12.4542015069174,51.8392609435254,2.54711413383484,55.1835060119629,-14.0908374786377,50.9773178100586,0.500986312702633,0.566114059105627,0.820996490184496,0.675593548289033,0.445436181606472,0.564813859097885,0.464566929146157,0.862603884505151
401282081,2021,4,"Alabama","Southern Miss",-45,-45,58.5,0,49,77,1,1,38.7795996752807,58.8687393526534,2.02845931053162,67.9263534545898,37.3820838928223,70.5257110595703,0.368821796196278,0.508615757264927,0.00433291609042004,0.756236007341631,0.25559021217702,0.839515181196963,0.191081993065471,0.679565473352311
401282082,2021,4,"Arkansas","Texas A&M",4.5,4.5,47,0,10,30,1,0,1.29858422837372,52.5059472377536,2.9205207824707,64.2129974365234,-5.03046083450317,49.6074676513672,0.622578608460684,0.626463028461017,0.674830239910925,0.89755247586394,0.481755095029261,0.585190845331903,0.40750678541462,0.566910331477508
401282083,2021,4,"Auburn","Georgia State",-27.5,-27.5,57,0,10,58,0,1,31.4092756697647,54.9821663105325,-1.0187007188797,49.1204986572266,32.8070030212402,55.9880752563477,0.583368624526021,0.452958308639,0.0407458400502217,0.280849049383307,0.676415291235119,0.466721854195176,0.153376980517513,0.360915929606196
401282084,2021,4,"Florida","Tennessee",-19,-19,65,0,24,52,1,0,23.1026696062726,61.3068718217076,-0.399127602577209,55.6523590087891,18.5840320587158,54.0229301452637,0.587427821933325,0.4143700587453,0.118005405681254,0.245585097410882,0.485691092766085,0.182487989672954,0.526827342061468,0.314247921250416
401282085,2021,4,"Mississippi State","LSU",1.5,1.5,55,0,-3,53,0,0,1.7351576550168,50.4207987302769,4.21013879776001,56.0439376831055,-0.910157084465027,50.8139152526855,0.569152471679704,0.394265884571238,0.636384034037696,0.530642666856568,0.520285646058856,0.364869601714025,0.750344625796367,0.388936538502341
401282086,2021,4,"Boston College","Missouri",-1,-1,58,0,7,75,1,1,20.9724417338881,61.9862358431772,16.6882991790771,48.763858795166,6.98507738113403,45.9358177185059,0.858933074525871,0.592307940362766,0.831053522916946,0.248177232122765,0.697134940014567,0.159711998468516,0.807183440466446,0.523269273624344
401282087,2021,4,"South Carolina","Kentucky",4.5,4.5,49,0,-6,26,0,0,13.7613034273287,51.2431410877184,-12.4506883621216,58.3602409362793,-12.8871793746948,53.1348915100098,0.83729259779792,0.552265636341666,0.313598296830986,0.754706907445863,0.234733906062212,0.633541386966056,0.529398016489136,0.317691932678238
401282088,2021,4,"Vanderbilt","Georgia",36,36,54,0,-62,62,0,1,-28.835317423879,44.3990279480938,3.536461353302,62.4992599487305,-28.8474960327148,61.7925567626953,0.650187273687497,0.286936067900866,0.992135152865803,0.734331377610104,0.731337020180486,0.739923704392125,0.614298573763408,0.735135820540683
401282089,2021,5,"Alabama","Ole Miss",-15,-15,79.5,0,21,63,1,0,25.2128130578461,70.2186673957799,4.65149641036987,62.9331588745117,20.6212291717529,72.7340545654297,0.709661638324514,0.293155571632568,0.263644569003209,0.11120607799303,0.686090243240118,0.288290679245771,0.718004347012823,0.205836652706767
401282090,2021,5,"Georgia","Arkansas",-16.5,-16.5,48.5,0,37,37,1,0,24.6260133760394,49.0637312866766,5.36797618865967,56.1488800048828,17.7585220336914,44.4758911132812,0.669859227904622,0.513183868913211,0.248248505059508,0.713396933420084,0.543216392730225,0.369905062970531,0.220681377183449,0.550008987773337
401282091,2021,5,"Kentucky","Florida",7.5,7.5,56.5,0,7,33,1,0,-4.78239387571942,56.4320021182444,2.59391212463379,56.4143600463867,-5.74987506866455,60.1608123779297,0.558430612836977,0.498409462021586,0.731249906774734,0.497483753176066,0.559987708502081,0.618720614526949,0.303261047167568,0.485817171888725
401282092,2021,5,"LSU","Auburn",-3,-3,56,0,-5,43,0,0,2.10362109308186,55.6078998671564,2.76860952377319,45.1343383789062,4.08660793304443,56.783504486084,0.480665314422578,0.490829172083865,0.494361242913102,0.211782917116458,0.537331661530905,0.525778309043201,0.487701816117254,0.445147586866119
401282093,2021,5,"Missouri","Tennessee",-2.5,-2.5,66,0,-38,86,0,1,8.02966128539497,62.7333196680572,-3.0448317527771,44.0825157165527,3.30035853385925,59.4797096252441,0.617564884240853,0.424053535749431,0.367413323174839,0.0532408207656541,0.527515636927413,0.295249997305795,0.69008112670622,0.295625876875562
401282094,2021,5,"South Carolina","Troy",-6.5,-6.5,43.5,0,9,37,1,0,3.64512593718185,44.460692669345,-1.53018343448639,53.8282318115234,9.69027900695801,44.5387840270996,0.43864084165131,0.522459737573985,0.311878576609059,0.776572544485624,0.608396784287814,0.534159306040326,0.261054370168121,0.697001888367201
401282095,2021,5,"Texas A&M","Mississippi State",-7,-7,45.5,0,-4,48,0,1,22.7544664285929,44.7046439092544,-3.02958869934082,60.347297668457,3.66472482681274,48.7412185668945,0.80293087153377,0.481402522887711,0.270047836678398,0.862911873313717,0.386808098684136,0.60545551266128,0.240900940709645,0.80297809883283
401282096,2021,5,"Vanderbilt","UConn",-14.5,-14.5,51,0,2,58,0,1,7.80657608810748,55.5087243555492,18.1122512817383,57.8366432189941,18.9510097503662,51.1693077087402,0.358661905722459,0.604248192041929,0.587320746039241,0.692698935819212,0.649463929582867,0.505574142863107,0.358259773749687,0.57096512416159
