"i","week","bet_type","ev","stake","win","pnl","bankroll","drawdown"
405,13,"totals",0.149570958256722,74.829,1,68.019,1887.07,6.4
406,13,"spread",0.237199267983437,94.353,1,85.767,1972.83,2.1
407,13,"spread",0.431452792882919,98.642,1,89.665,2062.5,0
408,13,"spread",0.230424151837826,103.125,1,93.741,2156.24,0
409,13,"spread",0.406542239546776,107.812,0,-107.812,2048.43,5
410,13,"spread",0.201201478242874,102.421,1,93.101,2141.53,0.7
411,13,"spread",0.320341138422489,107.076,1,97.332,2238.86,0
412,13,"spread",0.280885983347893,111.943,0,-111.943,2126.92,5
413,13,"totals",0.158791433572769,92.887,1,84.434,2211.35,1.2
414,13,"spread",0.268276755213738,110.568,0,-110.568,2100.78,6.2
415,13,"spread",0.34230533605814,105.039,0,-105.039,1995.75,10.9
416,13,"totals",0.310499850690365,99.787,1,90.707,2086.45,6.8
417,13,"spread",0.170380235433578,97.77,1,88.873,2175.32,2.8
418,13,"spread",0.367271189033985,108.766,0,-108.766,2066.56,7.7
419,13,"spread",0.16537277340889,93.991,1,85.438,2152,3.9
420,13,"spread",0.479307462573051,107.6,0,-107.6,2044.4,8.7
421,13,"spread",0.235696278393269,102.22,1,92.918,2137.31,4.5
422,13,"totals",0.277187393248081,106.866,1,97.141,2234.46,0.2
423,13,"spread",0.264652922034264,111.723,1,101.556,2336.01,0
424,13,"spread",0.189863231539726,116.801,1,106.172,2442.18,0
425,13,"totals",0.167824163198471,112.722,0,-112.722,2329.46,4.6
426,14,"spread",0.380925193488598,116.473,0,-116.473,2212.99,9.4
427,14,"totals",0.254783870697021,110.649,1,100.58,2313.57,5.3
428,14,"spread",0.340152973949909,115.678,1,105.152,2418.72,1
429,14,"totals",0.170091903567314,113.148,0,-113.148,2305.57,5.6
430,14,"spread",0.279291965544224,115.279,1,104.788,2410.36,1.3
431,14,"totals",0.411184450864792,120.518,1,109.551,2519.91,0
432,14,"spread",0.374251801371574,125.996,1,114.53,2634.44,0
433,14,"totals",0.282318767428398,131.722,0,-131.722,2502.72,5
434,14,"spread",0.296695422112942,125.136,0,-125.136,2377.58,9.7
435,14,"totals",0.353225763261318,118.879,1,108.061,2485.64,5.6
436,14,"spread",0.320712305963039,124.282,1,112.973,2598.62,1.4
437,14,"spread",0.175185159683228,125.203,0,-125.203,2473.41,6.1
438,14,"totals",0.219252372980118,123.671,0,-123.671,2349.74,10.8
439,14,"totals",0.168643075764179,108.985,1,99.067,2448.81,7
440,14,"spread",0.210879597902298,122.441,1,111.298,2560.11,2.8
441,14,"spread",0.163922807753086,115.418,1,104.915,2665.02,0
442,14,"spread",0.223012179553509,133.251,0,-133.251,2531.77,5
443,14,"totals",0.333518496394157,126.589,1,115.069,2646.84,0.7
444,14,"spread",0.224538153767586,132.342,1,120.299,2767.14,0
445,14,"spread",0.325846524775028,138.357,0,-138.357,2628.78,5
446,14,"totals",0.178071095407009,128.743,0,-128.743,2500.04,9.7
447,14,"totals",0.311447795748711,125.002,1,113.627,2613.67,5.5
448,14,"spread",0.248334294199944,130.683,0,-130.683,2482.98,10.3
449,14,"totals",0.179522426486015,122.594,1,111.438,2594.42,6.2
450,14,"spread",0.539018670856953,129.721,1,117.916,2712.34,2
451,14,"spread",0.224307966172695,135.617,0,-135.617,2576.72,6.9
452,14,"spread",0.171967312335968,121.868,0,-121.868,2454.85,11.3
