"season","week","matchup","pick","pick_spread","gap","tier","go_rate_pick","go_rate_opp","result"
2024,3,"South Florida @ Southern Miss","South Florida",-11.7,0.248,"STRONG",0.554,0.306,"WIN"
2024,3,"Coastal Carolina @ Temple","Temple",17.3,0.231,"STRONG",0.577,0.346,"WIN"
2024,3,"UAB @ Arkansas","UAB",23.7,0.23,"STRONG",0.5,0.27,"WIN"
2024,3,"Cincinnati @ Miami (OH)","Cincinnati",-3,0.22,"STRONG",0.446,0.227,"WIN"
2024,3,"Georgia @ Kentucky","Kentucky",22.5,0.206,"STRONG",0.398,0.192,"WIN"
2024,3,"Louisiana Tech @ NC State","Louisiana Tech",20.8,0.201,"STRONG",0.516,0.315,"WIN"
2024,3,"App State @ East Carolina","App State",-1.2,0.2,"STRONG",0.525,0.325,"WIN"
2024,3,"Air Force @ Baylor","Baylor",-16.7,0.179,"std",0.616,0.437,"WIN"
2024,3,"UNLV @ Kansas","Kansas",-9,0.168,"std",0.428,0.26,"LOSS"
2024,3,"Central Michigan @ Illinois","Central Michigan",20.8,0.165,"std",0.433,0.268,"WIN"
2024,3,"Hawai'i @ Sam Houston","Hawai'i",4,0.142,"std",0.452,0.31,"LOSS"
2024,3,"Jacksonville State @ Eastern Michigan","Eastern Michigan",1,0.135,"std",0.416,0.281,"WIN"
2024,3,"UCF @ TCU","TCU",-2.2,0.125,"std",0.43,0.305,"LOSS"
2024,3,"UConn @ Duke","Duke",-16.8,0.123,"std",0.403,0.28,"LOSS"
2024,3,"Texas A&M @ Florida","Florida",3.7,0.12,"std",0.467,0.347,"LOSS"
2024,3,"Rice @ Houston","Houston",-4.3,0.108,"std",0.473,0.366,"WIN"
2024,3,"Florida International @ Florida Atlantic","Florida International",4.3,0.102,"std",0.505,0.404,"LOSS"
2024,4,"Georgia Southern @ Ole Miss","Ole Miss",-35.2,0.291,"STRONG",0.617,0.326,"WIN"
2024,4,"Tulsa @ Louisiana Tech","Louisiana Tech",-2.3,0.271,"STRONG",0.505,0.234,"LOSS"
2024,4,"Baylor @ Colorado","Baylor",2.3,0.256,"STRONG",0.615,0.359,"LOSS"
2024,4,"Northwestern @ Washington","Washington",-11.8,0.221,"STRONG",0.421,0.2,"WIN"
2024,4,"Miami @ South Florida","South Florida",16.3,0.21,"STRONG",0.576,0.367,"LOSS"
2024,4,"Rice @ Army","Army",-7.3,0.188,"std",0.543,0.356,"WIN"
2024,4,"Utah @ Oklahoma State","Utah",-0.8,0.185,"std",0.429,0.244,"WIN"
2024,4,"Arkansas @ Auburn","Auburn",-2.5,0.179,"std",0.453,0.274,"LOSS"
2024,4,"Charlotte @ Indiana","Charlotte",28.5,0.173,"std",0.527,0.354,"LOSS"
2024,4,"Vanderbilt @ Missouri","Vanderbilt",18,0.159,"std",0.455,0.297,"WIN"
2024,4,"Florida Atlantic @ UConn","Florida Atlantic",0.5,0.155,"std",0.416,0.261,"LOSS"
2024,4,"Kansas State @ BYU","BYU",7.3,0.134,"std",0.457,0.323,"WIN"
2024,4,"TCU @ SMU","SMU",1.7,0.113,"std",0.536,0.424,"WIN"
2024,4,"Ohio @ Kentucky","Kentucky",-20.7,0.11,"std",0.391,0.281,"WIN"
2025,1,"Mississippi State @ Southern Miss","Mississippi State",-13.8,0.358,"STRONG",0.657,0.299,"WIN"
2025,1,"California @ Oregon State","Oregon State",0.8,0.239,"STRONG",0.632,0.393,"LOSS"
2025,1,"Georgia State @ Ole Miss","Ole Miss",-35.2,0.205,"STRONG",0.577,0.371,"WIN"
2025,1,"Auburn @ Baylor","Baylor",0.3,0.174,"std",0.609,0.435,"LOSS"
2025,1,"Northwestern @ Tulane","Tulane",-6,0.174,"std",0.432,0.258,"WIN"
2025,1,"Hawai'i @ Arizona","Hawai'i",14.8,0.173,"std",0.47,0.297,"LOSS"
2025,1,"Nebraska @ Cincinnati","Cincinnati",6,0.166,"std",0.454,0.288,"WIN"
2025,1,"Boise State @ South Florida","South Florida",6.2,0.15,"std",0.539,0.389,"WIN"
2025,1,"Buffalo @ Minnesota","Buffalo",17.2,0.136,"std",0.385,0.249,"WIN"
2025,1,"LSU @ Clemson","LSU",4.8,0.127,"std",0.363,0.236,"WIN"
2025,1,"Georgia Tech @ Colorado","Colorado",3.7,0.111,"std",0.371,0.26,"LOSS"
2025,1,"Eastern Michigan @ Texas State","Texas State",-13.8,0.108,"std",0.524,0.416,"WIN"
2025,1,"Miami (OH) @ Wisconsin","Wisconsin",-18,0.101,"std",0.314,0.213,"LOSS"
2025,2,"UConn @ Syracuse","Syracuse",-7.2,0.288,"STRONG",0.55,0.262,"LOSS"
2025,2,"Oklahoma State @ Oregon","Oregon",-28.5,0.219,"STRONG",0.479,0.26,"WIN"
2025,2,"Army @ Kansas State","Army",16.8,0.219,"STRONG",0.566,0.347,"WIN"
2025,2,"Michigan @ Oklahoma","Oklahoma",-3.5,0.187,"std",0.423,0.235,"WIN"
2025,2,"Ole Miss @ Kentucky","Ole Miss",-7.8,0.161,"std",0.565,0.404,"LOSS"
2025,2,"UL Monroe @ Alabama","UL Monroe",34.2,0.156,"std",0.544,0.388,"LOSS"
2025,2,"Iowa @ Iowa State","Iowa State",-2.7,0.153,"std",0.338,0.185,"WIN"
2025,2,"Miami (OH) @ Rutgers","Rutgers",-15.5,0.143,"std",0.355,0.212,"WIN"
2025,2,"Baylor @ SMU","Baylor",2.8,0.136,"std",0.614,0.478,"WIN"
2025,2,"Texas State @ UTSA","Texas State",4.5,0.122,"std",0.522,0.4,"WIN"
2025,2,"Troy @ Clemson","Troy",30.2,0.119,"std",0.366,0.247,"WIN"
2025,2,"North Texas @ Western Michigan","North Texas",-12.2,0.118,"std",0.622,0.505,"LOSS"
2025,2,"UAB @ Navy","UAB",21.5,0.111,"std",0.471,0.36,"WIN"
2025,2,"Middle Tennessee @ Wisconsin","Middle Tennessee",28.5,0.104,"std",0.422,0.317,"LOSS"
2025,3,"Arkansas @ Ole Miss","Ole Miss",-3.8,0.254,"STRONG",0.56,0.307,"WIN"
2025,3,"NC State @ Wake Forest","Wake Forest",7.3,0.206,"STRONG",0.505,0.299,"LOSS"
2025,3,"Georgia @ Tennessee","Tennessee",3.5,0.202,"STRONG",0.448,0.247,"WIN"
2025,3,"Oregon @ Northwestern","Oregon",-25.5,0.19,"std",0.487,0.297,"LOSS"
2025,3,"Western Michigan @ Illinois","Western Michigan",27.5,0.181,"std",0.491,0.31,"LOSS"
2025,3,"Minnesota @ California","California",3.2,0.144,"std",0.399,0.255,"WIN"
2025,3,"South Florida @ Miami","South Florida",17.7,0.142,"std",0.51,0.368,"LOSS"
2025,3,"New Mexico State @ Louisiana Tech","Louisiana Tech",-10.2,0.139,"std",0.439,0.3,"WIN"
2025,3,"Louisiana @ Missouri","Louisiana",27.5,0.137,"std",0.446,0.309,"LOSS"
2025,3,"USC @ Purdue","USC",-20.5,0.112,"std",0.388,0.276,"LOSS"
2025,3,"Colorado @ Houston","Houston",-3.8,0.107,"std",0.464,0.357,"WIN"
2025,4,"Syracuse @ Clemson","Syracuse",17.5,0.323,"STRONG",0.568,0.245,"WIN"
2025,4,"Northern Illinois @ Mississippi State","Mississippi State",-24,0.206,"STRONG",0.604,0.398,"WIN"
2025,4,"Iowa @ Rutgers","Rutgers",2.3,0.178,"std",0.362,0.183,"LOSS"
2025,4,"UNLV @ Miami (OH)","UNLV",-1.8,0.166,"std",0.376,0.21,"WIN"
2025,4,"Bowling Green @ Louisville","Louisville",-26.2,0.146,"std",0.346,0.2,"LOSS"
2025,4,"Tulane @ Ole Miss","Ole Miss",-12.2,0.14,"std",0.558,0.418,"WIN"
2025,4,"Southern Miss @ Louisiana Tech","Louisiana Tech",-3.2,0.136,"std",0.43,0.294,"WIN"
2025,4,"Michigan State @ USC","Michigan State",18.5,0.135,"std",0.532,0.397,"WIN"
2025,4,"UL Monroe @ UTEP","UL Monroe",5.3,0.122,"std",0.544,0.422,"WIN"
2025,4,"Coastal Carolina @ South Alabama","South Alabama",-14.7,0.118,"std",0.455,0.337,"LOSS"
2025,4,"Oregon State @ Oregon","Oregon State",34,0.117,"std",0.6,0.483,"LOSS"
2025,4,"Texas Tech @ Utah","Texas Tech",3.5,0.117,"std",0.523,0.406,"WIN"
2025,4,"Arkansas @ Memphis","Memphis",7.2,0.111,"std",0.416,0.305,"WIN"
