Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133581-78767,G,Scottie,Scottie Scheffler,Scheffler,106.4105288856908,19,14800,,,,,,,,,G
133581-78530,G,Rory,Rory McIlroy,McIlroy,82.2923114483173,13,13400,,,,,,,,,G
133581-163390,G,Ludvig,Ludvig Aberg,Aberg,77.43157637746711,19,12200,,,,,,,,,G
133581-77904,G,Sam,Sam Burns,Burns,78.24736585115132,19,12000,,,,,,,,,G
133581-78766,G,Xander,Xander Schauffele,Schauffele,73.83158151726974,19,11800,,,,,,,,,G
133581-80788,G,Wyndham,Wyndham Clark,Clark,80.24761672247024,21,11600,,,,,,,,,G
133581-107336,G,Cameron,Cameron Young,Young,82.12631707442434,19,11400,,,,,,,,,G
133581-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,84.77894993832237,19,11200,,,,,,,,,G
133581-79435,G,Patrick,Patrick Cantlay,Cantlay,73.39999871504934,19,11000,,,,,,,,,G
133581-78084,G,Tommy,Tommy Fleetwood,Fleetwood,79.78888617621527,18,10800,,,,,,,,,G
133581-165988,G,Chris,Chris Gotterup,Gotterup,79.84545343572444,22,10600,,,,,,,,,G
133581-78569,G,Collin,Collin Morikawa,Morikawa,78.75,16,10400,,,,,,,,,G
133581-78346,G,Si Woo,Si Woo Kim,Kim,85.22608483355978,23,10200,,,,,,,,,G
133581-78206,G,Russell,Russell Henley,Henley,77.1789486533717,19,10000,,,,,,,,,G
133581-101713,G,Viktor,Viktor Hovland,Hovland,69.79444715711806,18,9800,,,,,,,,,G
133581-78508,G,Hideki,Hideki Matsuyama,Matsuyama,80.0136385830966,22,9600,,,,,,,,,G
133581-78831,G,J.J.,J.J. Spaun,Spaun,63.81818181818182,22,9400,,,,,,,,,G
133581-170740,G,Ryan,Ryan Gerard,Gerard,73.0499979654948,24,9200,,,,,,,,,G
133581-169771,G,Jacob,Jacob Bridgeman,Bridgeman,78.48181707208806,22,9000,,,,,,,,,G
133581-110893,G,Robert,Robert MacIntyre,MacIntyre,71.46500244140626,20,8800,,,,,,,,,G
133581-78744,G,Justin,Justin Rose,Rose,65.84706025965073,17,8600,,,,,,,,,G
133581-151407,G,Min Woo,Min Woo Lee,Lee,72.46316046463816,19,8400,,,,,,,,,G
133581-137069,G,Tom,Tom Kim,Kim,75.32857259114583,21,8200,,,,,,,,,G
133581-78780,G,Adam,Adam Scott,Scott,71.57777913411458,18,8000,,,,,,,,,G
133581-80560,G,Alex,Alex Smalley,Smalley,70.39545232599431,22,7500,,,,,,,,,G
133581-84467,G,Kristoffer,Kristoffer Reitan,Reitan,62.89000244140625,20,7200,,,,,,,,,G
133581-78998,G,Gary,Gary Woodland,Woodland,64.03809756324405,21,7000,,,,,,,,,G
133581-166816,G,Alex,Alex Fitzpatrick,Fitzpatrick,66.00833129882812,12,6700,,,,,,,,,G
133581-78095,G,Ryan,Ryan Fox,Fox,67.96111382378473,18,6300,,,,,,,,,G
133581-103030,G,Akshay,Akshay Bhatia,Bhatia,65.775,20,6000,,,,,,,,,G
