player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Scottie Scheffler,35.23,G,49,scottie scheffler,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Chris Gotterup,34.51,G,40.7,chris gotterup,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Viktor Hovland,34.25,G,49.2,viktor hovland,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Collin Morikawa,32.59,G,24.45,collin morikawa,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Cameron Young,31.87,G,39.55,cameron young,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Sam Burns,28,G,44.75,sam burns,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Ryan Gerard,26.94,G,49,ryan gerard,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Adam Scott,25.84,G,49.2,adam scott,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Matt Fitzpatrick,24.1,G,33.15,matt fitzpatrick,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Ludvig Åberg,23.91,G,56.35,ludvig aberg,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Russell Henley,23.22,G,44.95,russell henley,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Rory McIlroy,22.06,G,63.65,rory mcilroy,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Si Woo Kim,21.87,G,54.2,si woo kim,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Gary Woodland,21.41,G,26.8,gary woodland,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Xander Schauffele,20.16,G,40.7,xander schauffele,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Tom Kim,19.15,G,36.45,tom kim,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Wyndham Clark,18.22,G,41.65,wyndham clark,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Jacob Bridgeman,17.28,G,44.95,jacob bridgeman,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Akshay Bhatia,16.82,G,25.6,akshay bhatia,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Patrick Cantlay,15.65,G,36.45,patrick cantlay,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Justin Rose,15.62,G,35.05,justin rose,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Tommy Fleetwood,14.66,G,40.7,tommy fleetwood,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Hideki Matsuyama,13.65,G,42.6,hideki matsuyama,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Alex Smalley,12.5,G,21.35,alex smalley,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Ryan Fox,11.92,G,29.85,ryan fox,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Kristoffer Reitan,9.59,G,39.55,kristoffer reitan,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Alex Fitzpatrick,9.35,G,41.65,alex fitzpatrick,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Robert MacIntyre,8.89,G,58.7,robert macintyre,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
Min Woo Lee,8.87,G,45.9,min woo lee,golf,golf-dk-2026-08-29-main,194606982,2026-08-31 08:12:20
