player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Scottie Scheffler,45.32,G,58.9,scottie scheffler,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Rory McIlroy,42.57,G,45.5,rory mcilroy,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Ludvig Åberg,33.31,G,35.05,ludvig aberg,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Viktor Hovland,31.97,G,31.35,viktor hovland,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Ryan Gerard,30.06,G,31.55,ryan gerard,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Russell Henley,29.56,G,48.05,russell henley,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Chris Gotterup,28.88,G,36.25,chris gotterup,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Tommy Fleetwood,28.1,G,46.65,tommy fleetwood,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Jacob Bridgeman,28.04,G,49,jacob bridgeman,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Min Woo Lee,27.82,G,44.95,min woo lee,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Sam Burns,27.71,G,28.45,sam burns,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Si Woo Kim,26.3,G,43.2,si woo kim,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Wyndham Clark,26.14,G,27.45,wyndham clark,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Adam Scott,24.79,G,26.35,adam scott,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Cameron Young,19.24,G,35.8,cameron young,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Justin Rose,17.89,G,37.5,justin rose,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Matt Fitzpatrick,17.27,G,22,matt fitzpatrick,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
Alex Fitzpatrick,13.07,G,59.4,alex fitzpatrick,golf,golf-dk-2026-08-30-main,194688178,2026-08-31 08:12:26
