player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Ben Griffin,26.8,G,97.5,ben griffin,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Jackson Koivun,26.27,G,30,jackson koivun,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Tom Kim,24.42,G,73,tom kim,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Blades Brown,22.01,G,96,blades brown,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Chris Gotterup,18.54,G,137,chris gotterup,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Eric Cole,18.34,G,93,eric cole,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
J.T. Poston,17.8,G,78,jt poston,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Jackson Suber,17.52,G,101.5,jackson suber,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Ryo Hisatsune,17.43,G,108,ryo hisatsune,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Denny McCarthy,17.15,G,32,denny mccarthy,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Jacob Bridgeman,16.76,G,81,jacob bridgeman,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Keith Mitchell,15.47,G,79,keith mitchell,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Andrew Novak,14.37,G,26.5,andrew novak,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Emiliano Grillo,14.17,G,83.5,emiliano grillo,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Michael Kim,13.73,G,24,michael kim,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Jordan Spieth,13.1,G,77,jordan spieth,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Keegan Bradley,12.84,G,87,keegan bradley,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Aldrich Potgieter,12.1,G,37.5,aldrich potgieter,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Sudarshan Yellamaraju,12.04,G,33,sudarshan yellamaraju,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Daniel Berger,11.87,G,33,daniel berger,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Michael Thorbjornsen,11.72,G,34,michael thorbjornsen,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Rickie Fowler,11.64,G,87,rickie fowler,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Sungjae Im,11.38,G,69.5,sungjae im,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Max Homa,10.99,G,117,max homa,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
Pierceson Coody,10,G,78.5,pierceson coody,golf,golf-dk-2026-07-02-main,191703053,2026-07-05 16:47:45
