player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Scottie Scheffler,23.07,G,128.5,scottie scheffler,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Justin Thomas,19.87,G,95.5,justin thomas,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Tommy Fleetwood,18.84,G,90.5,tommy fleetwood,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Ludvig Aberg,18.58,G,68,ludvig aberg,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Si Woo Kim,18.32,G,80,si woo kim,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Xander Schauffele,18.22,G,72,xander schauffele,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Sam Burns,17.87,G,106.5,sam burns,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Aaron Rai,17.51,G,87,aaron rai,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Patrick Cantlay,17.44,G,89,patrick cantlay,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Russell Henley,16.73,G,92,russell henley,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Brian Harman,16.01,G,102.5,brian harman,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Collin Morikawa,14.91,G,124,collin morikawa,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Alex Fitzpatrick,14.85,G,106,alex fitzpatrick,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Ryan Gerard,13.22,G,77.5,ryan gerard,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
J.T. Poston,13.09,G,74,jt poston,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
J.J. Spaun,11.84,G,113,jj spaun,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Cameron Young,11.14,G,79,cameron young,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Keegan Bradley,10.97,G,97.5,keegan bradley,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Matt Fitzpatrick,10.91,G,121,matt fitzpatrick,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Bud Cauley,10.83,G,93,bud cauley,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Jacob Bridgeman,9.91,G,78,jacob bridgeman,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Kurt Kitayama,9.89,G,100.5,kurt kitayama,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Eric Cole,9.81,G,82,eric cole,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Viktor Hovland,9.59,G,144,viktor hovland,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Akshay Bhatia,9.58,G,115,akshay bhatia,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Ryan Fox,9.31,G,65,ryan fox,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Sahith Theegala,9.07,G,81,sahith theegala,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Gary Woodland,8.93,G,44,gary woodland,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Hideki Matsuyama,8.93,G,104,hideki matsuyama,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Min Woo Lee,8.73,G,62,min woo lee,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Justin Rose,8.73,G,86.5,justin rose,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Ben Griffin,8.59,G,100,ben griffin,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Harris English,8.44,G,78,harris english,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Wyndham Clark,8.36,G,112,wyndham clark,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Kristoffer Reitan,8.11,G,91.5,kristoffer reitan,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Keith Mitchell,7.53,G,93,keith mitchell,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Sepp Straka,7.49,G,38,sepp straka,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Shane Lowry,7.49,G,86,shane lowry,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Jordan Spieth,7.43,G,57,jordan spieth,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Benjamin James,7.27,G,69,benjamin james,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Alex Smalley,7.08,G,78.5,alex smalley,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Corey Conners,7.03,G,114.5,corey conners,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Chris Gotterup,6.51,G,89.5,chris gotterup,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Maverick McNealy,6.46,G,80,maverick mcnealy,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Sungjae Im,5.98,G,88.5,sungjae im,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Jake Knapp,5.91,G,79.5,jake knapp,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Adam Scott,5.7,G,63,adam scott,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Rickie Fowler,5.67,G,79.5,rickie fowler,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Ryo Hisatsune,5.27,G,76.5,ryo hisatsune,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Robert MacIntyre,4.98,G,109,robert macintyre,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Jackson Suber,4.26,G,90.5,jackson suber,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Tony Finau,3.68,G,77,tony finau,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Sam Stevens,3.59,G,70,sam stevens,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Alex Noren,3.55,G,68,alex noren,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Daniel Berger,3.53,G,84,daniel berger,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Denny McCarthy,3.04,G,95,denny mccarthy,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Nicolai Hojgaard,3.01,G,96,nicolai hojgaard,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Matthew McCarty,2.97,G,96,matthew mccarty,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Michael Kim,2.8,G,90.5,michael kim,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Andrew Novak,2.69,G,88,andrew novak,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Nick Taylor,2.62,G,88.5,nick taylor,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
Nicolas Echavarria,2.43,G,80.5,nicolas echavarria,golf,golf-dk-2026-06-25-main,191505428,2026-07-05 16:47:39
