player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Frances Tiafoe,78.26,P,0,frances tiafoe,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Katie Volynets,65.22,P,31.05,katie volynets,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Taylor Fritz,60.87,P,71.7,taylor fritz,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Clara Tauson,56.52,P,35.2,clara tauson,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Tallon Griekspoor,56.52,P,42.55,tallon griekspoor,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Rebecca Sramkova,43.48,P,0,rebecca sramkova,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Lorenzo Musetti,21.74,P,79.7,lorenzo musetti,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Aleksandar Vukic,17.39,P,0,aleksandar vukic,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Madison Keys,17.39,P,0,madison keys,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Cameron Norrie,17.39,P,0,cameron norrie,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Zachary Svajda,13.04,P,0,zachary svajda,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Kei Nishikori,13.04,P,0,kei nishikori,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Coleman Wong,13.04,P,0,coleman wong,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Anastasia Zakharova,13.04,P,71.75,anastasia zakharova,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Viktorija Golubic,13.04,P,47.75,viktorija golubic,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Ashlyn Krueger,13.04,P,0,ashlyn krueger,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Maya Joint,8.7,P,75.5,maya joint,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Leylah Fernandez,8.7,P,75.55,leylah fernandez,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Alejandro Tabilo,8.7,P,60.85,alejandro tabilo,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Katie Boulter,8.7,P,0,katie boulter,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Emma Navarro,8.7,P,85.2,emma navarro,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Whitney Osuigwe,8.7,P,11,whitney osuigwe,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Janice Tjen,8.7,P,0,janice tjen,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Aleksandar Kovacevic,4.35,P,0,aleksandar kovacevic,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Tatjana Maria,4.35,P,0,tatjana maria,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Magda Linette,4.35,P,11.25,magda linette,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Darwin Blanch,4.35,P,0,darwin blanch,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Liudmila Samsonova,4.35,P,0,liudmila samsonova,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
Talia Gibson,4.35,P,0,talia gibson,tennis,tennis-dk-2026-07-27-main,192828671,2026-07-27 16:00:48
