player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Andrey Rublev,28.23,P,0,andrey rublev,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Arthur Fils,22.78,P,24.7,arthur fils,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Alejandro Tabilo,22.06,P,72.25,alejandro tabilo,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Valentin Vacherot,21.52,P,79.5,valentin vacherot,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Hubert Hurkacz,19.66,P,73.8,hubert hurkacz,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Aleksandar Kovacevic,18.28,P,8.1,aleksandar kovacevic,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Jurij Rodionov,16.24,P,86.8,jurij rodionov,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Matteo Arnaldi,16.04,P,21.35,matteo arnaldi,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Peyton Stearns,14.98,P,28.15,peyton stearns,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Kristina Liutova,14.33,P,20.65,kristina liutova,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Clara Tauson,14.15,P,12.25,clara tauson,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Mananchaya Sawangkaew,14.1,P,70.75,mananchaya sawangkaew,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Taylor Townsend,14.02,P,79.15,taylor townsend,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Aryna Sabalenka,13.99,P,73.75,aryna sabalenka,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Oksana Selekhmeteva,13.86,P,70.4,oksana selekhmeteva,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Valentin Royer,13.59,P,35.95,valentin royer,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Diana Shnaider,13.54,P,82.7,diana shnaider,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Giovanni Mpetshi Perricard,12.67,P,10,giovanni mpetshi perricard,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
Brandon Nakashima,12.35,P,100.45,brandon nakashima,tennis,tennis-dk-2026-08-31-main,194731101,2026-08-31 18:13:50
