player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Scottie Scheffler,27.51,G,21,scottie scheffler,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Kurt Kitayama,23.27,G,0,kurt kitayama,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Ben Kohles,21.24,G,0,ben kohles,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Tom Kim,19.82,G,0,tom kim,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Benjamin James,18.07,G,19,benjamin james,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Hideki Matsuyama,17.64,G,21,hideki matsuyama,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Jackson Suber,16.46,G,0,jackson suber,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Max Homa,15.52,G,3,max homa,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Mac Meissner,15.4,G,7,mac meissner,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Zac Blair,14.79,G,0,zac blair,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Corey Conners,14.09,G,21.5,corey conners,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Maverick McNealy,14.06,G,0,maverick mcnealy,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Jackson Koivun,13.32,G,0,jackson koivun,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Casey Jarvis,12.89,G,0,casey jarvis,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Keith Mitchell,12.01,G,5.5,keith mitchell,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Emiliano Grillo,11.94,G,26,emiliano grillo,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Doug Ghim,11.59,G,0,doug ghim,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Christiaan Bezuidenhout,11.3,G,0,christiaan bezuidenhout,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Johnny Keefer,11.17,G,0,johnny keefer,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Sungjae Im,10.54,G,2.5,sungjae im,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Jake Knapp,9.86,G,23,jake knapp,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
William Mouw,9.59,G,2,william mouw,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Rasmus Neergaard-Petersen,9.32,G,0,rasmus neergaardpetersen,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Jordan L. Smith,9.3,G,8.5,jordan l smith,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Pierceson Coody,9.09,G,0,pierceson coody,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Sam Stevens,8.98,G,0,sam stevens,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Lucas Glover,8.58,G,22,lucas glover,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Michael Brennan,8.11,G,20,michael brennan,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Brian Harman,7.81,G,20.5,brian harman,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Tony Finau,7.76,G,0,tony finau,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
Aaron Wise,7.57,G,0,aaron wise,golf,golf-dk-2026-07-23-main,192532793,2026-07-23 08:52:11
