player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Collin Morikawa,31.01,G,32,collin morikawa,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Matt Fitzpatrick,24.75,G,25.4,matt fitzpatrick,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Rory McIlroy,23.84,G,40.7,rory mcilroy,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Cameron Young,23.84,G,41.65,cameron young,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Chris Gotterup,23.23,G,37.4,chris gotterup,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Tom Kim,20.51,G,19.95,tom kim,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Scottie Scheffler,17.58,G,40.5,scottie scheffler,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Jon Rahm,17.58,G,42.6,jon rahm,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Shane Lowry,14.75,G,36.45,shane lowry,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Xander Schauffele,14.34,G,32.2,xander schauffele,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Kurt Kitayama,14.04,G,28.7,kurt kitayama,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Si Woo Kim,13.43,G,42.6,si woo kim,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Patrick Cantlay,13.03,G,37.4,patrick cantlay,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Robert MacIntyre,12.42,G,34.15,robert macintyre,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Ludvig Aberg,12.12,G,46.85,ludvig aberg,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Patrick Reed,12.02,G,46.85,patrick reed,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Keegan Bradley,11.62,G,24.45,keegan bradley,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Kristoffer Reitan,11.11,G,25.6,kristoffer reitan,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Sam Burns,10.91,G,71,sam burns,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Tommy Fleetwood,10.51,G,41.65,tommy fleetwood,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Bryson DeChambeau,10.3,G,42.85,bryson dechambeau,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Sepp Straka,10,G,28.9,sepp straka,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Jackson Suber,9.7,G,35.05,jackson suber,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
J.J. Spaun,9.6,G,44.75,jj spaun,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Joaquin Niemann,9.19,G,36.45,joaquin niemann,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Wyndham Clark,9.09,G,42.05,wyndham clark,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Ben Griffin,8.89,G,28.9,ben griffin,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Ryan Gerard,7.68,G,41.65,ryan gerard,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Aaron Rai,7.58,G,24.65,aaron rai,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Matt Wallace,7.17,G,41.65,matt wallace,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Viktor Hovland,6.67,G,17.85,viktor hovland,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Russell Henley,6.16,G,25.6,russell henley,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Alex Fitzpatrick,5.86,G,40.7,alex fitzpatrick,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Sungjae Im,5.76,G,21.35,sungjae im,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Eugenio Lopez-Chacarra,5.66,G,28.9,eugenio lopezchacarra,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Brooks Koepka,5.56,G,26.55,brooks koepka,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Corey Conners,5.56,G,47.6,corey conners,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Keith Mitchell,5.45,G,28.7,keith mitchell,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Nicolai Hojgaard,5.45,G,30.85,nicolai hojgaard,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Tyrrell Hatton,5.25,G,37.4,tyrrell hatton,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Alex Smalley,5.15,G,19.25,alex smalley,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Min Woo Lee,4.65,G,25.6,min woo lee,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Victor Perez,4.14,G,34.1,victor perez,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Sahith Theegala,4.14,G,34.1,sahith theegala,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Michael Thorbjornsen,4.04,G,36.45,michael thorbjornsen,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Pierceson Coody,3.94,G,30.8,pierceson coody,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Justin Thomas,3.33,G,37.2,justin thomas,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Michael Brennan,3.23,G,36.45,michael brennan,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Jacob Bridgeman,3.23,G,32.2,jacob bridgeman,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Adam Scott,3.23,G,45.9,adam scott,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Thomas Detry,2.93,G,37.25,thomas detry,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Jordan L. Smith,2.93,G,29.85,jordan l smith,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Casey Jarvis,2.83,G,40.7,casey jarvis,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Nick Taylor,2.73,G,26.55,nick taylor,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Laurie Canter,2.73,G,28.45,laurie canter,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Akshay Bhatia,2.63,G,19,akshay bhatia,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
John Parry,2.63,G,37.4,john parry,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Bud Cauley,2.53,G,37.4,bud cauley,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Hideki Matsuyama,2.32,G,40.7,hideki matsuyama,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Alex Noren,2.22,G,33.15,alex noren,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Rickie Fowler,2.22,G,34.1,rickie fowler,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Aldrich Potgieter,2.22,G,24.25,aldrich potgieter,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Daniel Brown,2.12,G,29.7,daniel brown,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Maverick McNealy,2.12,G,22.3,maverick mcnealy,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Justin Rose,2.02,G,36.45,justin rose,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Jake Knapp,1.92,G,25.6,jake knapp,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Johnny Keefer,1.92,G,38.35,johnny keefer,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
Ryo Hisatsune,1.82,G,19.95,ryo hisatsune,golf,golf-dk-2026-07-17-main,192365963,2026-07-18 20:59:14
