player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Aryna Sabalenka,75,P,22,aryna sabalenka,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Taylor Fritz,50,P,74.5,taylor fritz,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Coco Gauff,50,P,72.25,coco gauff,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Flavio Cobolli,50,P,59.95,flavio cobolli,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Alex de Minaur,50,P,16.1,alex de minaur,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Lorenzo Musetti,50,P,76.9,lorenzo musetti,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Alexander Zverev,25,P,36.1,alexander zverev,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Elena Rybakina,25,P,68.7,elena rybakina,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Sorana Cirstea,25,P,28.65,sorana cirstea,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Iga Swiatek,25,P,75.55,iga swiatek,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Diana Shnaider,25,P,18.4,diana shnaider,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Jessica Pegula,25,P,66.35,jessica pegula,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Linda Noskova,25,P,9.5,linda noskova,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Amanda Anisimova,25,P,81.55,amanda anisimova,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Frances Tiafoe,25,P,72.05,frances tiafoe,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Jakub Mensik,25,P,32.6,jakub mensik,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
Tommy Paul,25,P,59.6,tommy paul,tennis,tennis-dk-2026-08-19-main,194043763,2026-08-20 20:57:52
