player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Ben Griffin,26.27,G,97.5,ben griffin,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Tom Kim,25.31,G,73,tom kim,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Jackson Koivun,22.43,G,30,jackson koivun,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Blades Brown,22.12,G,96,blades brown,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Chris Gotterup,19.6,G,137,chris gotterup,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Ryo Hisatsune,18.34,G,108,ryo hisatsune,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Eric Cole,17.96,G,93,eric cole,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Jacob Bridgeman,17.92,G,81,jacob bridgeman,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Keith Mitchell,16.92,G,79,keith mitchell,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
J.T. Poston,16.9,G,78,jt poston,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Jackson Suber,16.82,G,101.5,jackson suber,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Denny McCarthy,15.92,G,32,denny mccarthy,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Jordan Spieth,13.48,G,77,jordan spieth,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Emiliano Grillo,13.09,G,83.5,emiliano grillo,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Sudarshan Yellamaraju,12.87,G,33,sudarshan yellamaraju,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Michael Kim,12.78,G,24,michael kim,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Andrew Novak,12.75,G,26.5,andrew novak,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Keegan Bradley,12.37,G,87,keegan bradley,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Rickie Fowler,12.21,G,87,rickie fowler,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Sungjae Im,11.95,G,69.5,sungjae im,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Michael Thorbjornsen,11.63,G,34,michael thorbjornsen,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Daniel Berger,11.61,G,33,daniel berger,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
Aldrich Potgieter,11.45,G,37.5,aldrich potgieter,golf,golf-dk-2026-07-02-main,191703052,2026-07-05 16:47:44
