player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Courtney Williams,45.88,G,29,courtney williams,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Olivia Nelson-Ododa,31.41,F,26.25,olivia nelsonododa,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kayla McBride,29.78,G,41,kayla mcbride,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Myisha Hines-Allen,25.86,F,5.25,myisha hinesallen,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Natasha Howard,25.8,F,35.5,natasha howard,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Nneka Ogwumike,23.5,F,21.25,nneka ogwumike,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Dearica Hamby,22.83,F,20,dearica hamby,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Marina Mabrey,21.48,G,24,marina mabrey,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Monique Billings,19.8,F,17.25,monique billings,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Caitlin Clark,18.96,G,9.5,caitlin clark,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kelsey Mitchell,18,G,22.75,kelsey mitchell,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Aaliyah Edwards,17.05,F,6.5,aaliyah edwards,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Dorka Juhasz,16.77,F,24.5,dorka juhasz,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Nyara Sabally,16.32,F,4.25,nyara sabally,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kiah Stokes,14.64,F,4.75,kiah stokes,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Nia Coffey,12.06,F,3.75,nia coffey,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Gabby Williams,11.5,F,12.75,gabby williams,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Leila Lacan,10.71,G,34,leila lacan,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Isabelle Harrison,10.38,F,35.5,isabelle harrison,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Veronica Burton,9.93,G,21.5,veronica burton,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Julie Allemand,8.92,G,26.75,julie allemand,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Janelle Salaun,8.13,F,38,janelle salaun,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Makayla Timpson,7.57,F,7,makayla timpson,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Rae Burrell,6.62,G,13.75,rae burrell,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kayla Thornton,6.23,F,30.75,kayla thornton,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Maria Conde,5.72,F,13.25,maria conde,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Brittney Griner,5.27,F,0,brittney griner,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Diamond Miller,4.99,F,23,diamond miller,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kennedy Burke,4.54,G,20.5,kennedy burke,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Tiffany Hayes,4.21,G,10.5,tiffany hayes,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Cecilia Zandalasini,3.59,F,7.25,cecilia zandalasini,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Charlisse Leger-Walker,3.14,G,23,charlisse legerwalker,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Maya Caldwell,2.64,G,13,maya caldwell,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Sophie Cunningham,2.64,UTIL,6.25,sophie cunningham,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Erica Wheeler,2.24,G,8.5,erica wheeler,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Laura Juskaite,2.13,F,11.5,laura juskaite,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Emma Cannon,2.08,F,3.5,emma cannon,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kaila Charles,1.96,G,12.25,kaila charles,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Lexie Hull,1.96,UTIL,11.5,lexie hull,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Ariel Atkins,1.85,G,6,ariel atkins,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Anastasiia Olairi Kosu,1.51,F,14,anastasiia olairi kosu,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kaitlyn Chen,1.51,UTIL,23.25,kaitlyn chen,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kate Martin,1.46,UTIL,0,kate martin,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Antonia Delaere,1.46,G,13.5,antonia delaere,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Raegan Beers,1.4,F,7.25,raegan beers,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Laeticia Amihere,1.18,F,6.25,laeticia amihere,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Damiris Dantas,0.79,F,3.5,damiris dantas,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kia Nurse,0.56,UTIL,12.75,kia nurse,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Tyasha Harris,0.5,UTIL,12.75,tyasha harris,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Raven Johnson,0.45,G,1,raven johnson,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Kiana Williams,0.39,UTIL,5,kiana williams,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Saniya Rivers,0.39,UTIL,14.25,saniya rivers,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Jihyun Park,0.34,F,11.5,jihyun park,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Grace VanSlooten,0.22,F,2,grace vanslooten,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Tima Pouye,0.17,G,3.5,tima pouye,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Chance Gray,0.11,G,0,chance gray,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Eliska Hamzova,0.11,UTIL,14,eliska hamzova,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Gianna Kneepkens,0.11,G,8.5,gianna kneepkens,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Nell Angloma,0.11,F,17.75,nell angloma,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Hailey Van Lith,0.06,UTIL,0,hailey van lith,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Aliyah Boston,0.06,F,0,aliyah boston,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Liatu King,0.06,F,0,liatu king,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
Alissa Pili,0.06,F,9.75,alissa pili,wnba,wnba-dk-2026-07-08-main,192074662,2026-07-08 22:07:40
