player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Scottie Scheffler,27.23,G,35.3,scottie scheffler,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Kurt Kitayama,24.22,G,40.5,kurt kitayama,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Ben Kohles,23.3,G,36.45,ben kohles,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Jackson Koivun,22.85,G,42.6,jackson koivun,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Tom Kim,19.07,G,36.45,tom kim,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Maverick McNealy,18.51,G,55.15,maverick mcnealy,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Jackson Suber,16.71,G,21.15,jackson suber,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Gary Woodland,16.11,G,37.45,gary woodland,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Sam Stevens,14.25,G,37.4,sam stevens,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Rasmus Neergaard-Petersen,13.25,G,25.6,rasmus neergaardpetersen,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Casey Jarvis,12.8,G,53.25,casey jarvis,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Keita Nakajima,12.52,G,24.45,keita nakajima,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Christiaan Bezuidenhout,12.51,G,45.9,christiaan bezuidenhout,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Zac Blair,11.82,G,58.45,zac blair,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Jake Knapp,10.99,G,36,jake knapp,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Doug Ghim,10.8,G,26.8,doug ghim,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Pierceson Coody,10.79,G,7.05,pierceson coody,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Davis Thompson,10.61,G,41.65,davis thompson,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Emiliano Grillo,10.44,G,44.95,emiliano grillo,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Michael Kim,10.03,G,88,michael kim,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Jesper Svensson,9.91,G,43.35,jesper svensson,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Michael Brennan,9.85,G,37.4,michael brennan,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Hideki Matsuyama,9.82,G,62.5,hideki matsuyama,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Tom Hoge,9.71,G,12.65,tom hoge,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Lucas Glover,9.38,G,34.1,lucas glover,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Keith Mitchell,9.35,G,37.4,keith mitchell,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Matti Schmid,8.72,G,25.6,matti schmid,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Corey Conners,6.92,G,36.45,corey conners,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Billy Horschel,6.9,G,56.1,billy horschel,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Seamus Power,6.13,G,42.65,seamus power,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Jordan L. Smith,6.13,G,42.6,jordan l smith,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Benjamin James,6.01,G,31.75,benjamin james,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Denny McCarthy,6.01,G,40.7,denny mccarthy,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
John Parry,5.26,G,36.45,john parry,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Max McGreevy,5.06,G,53.25,max mcgreevy,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Brian Harman,5.05,G,61.75,brian harman,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Max Greyserman,4.95,G,34.1,max greyserman,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Ricky Castillo,4.94,G,44.8,ricky castillo,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Troy Merritt,4.83,G,53.25,troy merritt,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Kevin Yu,4.76,G,50.15,kevin yu,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Sungjae Im,4.64,G,33.15,sungjae im,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Johnny Keefer,4.58,G,55.15,johnny keefer,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Mac Meissner,4.49,G,45.9,mac meissner,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Rico Hoey,4.46,G,29.9,rico hoey,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Tony Finau,4.35,G,41.45,tony finau,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Kevin Roy,4.23,G,34.1,kevin roy,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Max Homa,4.12,G,19.25,max homa,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Austin Smotherman,4.1,G,53.05,austin smotherman,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Hao-Tong Li,3.95,G,41.65,haotong li,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Sudarshan Yellamaraju,3.83,G,27.75,sudarshan yellamaraju,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Joel Dahmen,3.7,G,43.35,joel dahmen,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Andrew Putnam,3.6,G,21.4,andrew putnam,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Lee Hodges,3.54,G,44.95,lee hodges,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Rasmus Højgaard,3.5,G,29.85,rasmus hojgaard,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
William Mouw,3.47,G,39.35,william mouw,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Austin Eckroat,3.34,G,49,austin eckroat,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Zecheng Dou,3.14,G,36.45,zecheng dou,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Chandler Phillips,2.91,G,58.5,chandler phillips,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Preston Stout,2.75,G,28.9,preston stout,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
A.J. Ewart,2.57,G,38.35,aj ewart,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Kevin Streelman,2.49,G,43.8,kevin streelman,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Zachary Bauchou,2.32,G,37.4,zachary bauchou,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
David Lipsky,2.32,G,25.4,david lipsky,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Beau Hossler,2.27,G,41.65,beau hossler,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Taylor Pendrith,2.26,G,19.25,taylor pendrith,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Adam Svensson,2.23,G,20.2,adam svensson,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Davis Chatfield,2.15,G,40.7,davis chatfield,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Stephan Jaeger,2.05,G,36,stephan jaeger,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Aaron Wise,1.89,G,16.95,aaron wise,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Takumi Kanaya,1.87,G,36.45,takumi kanaya,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Trace Crowe,1.86,G,25.6,trace crowe,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Ben Silverman,1.78,G,29.85,ben silverman,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Aldrich Potgieter,1.69,G,58.45,aldrich potgieter,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
Kris Ventura,1.69,G,50.2,kris ventura,golf,golf-dk-2026-07-24-main,192654010,2026-07-27 16:00:39
