player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Malik Tillman,55.94,FLEX,18.08,malik tillman,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Youri Tielemans,55.63,FLEX,8.06,youri tielemans,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Leandro Trossard,48.42,FLEX,13.74,leandro trossard,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Christian Pulisic,48.26,FLEX,1.02,christian pulisic,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Folarin Balogun,39.01,FLEX,5.12,folarin balogun,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Antonee Robinson,32.7,FLEX,6.66,antonee robinson,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Maxim De Cuyper,32.07,FLEX,6.3,maxim de cuyper,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Weston McKennie,30.02,FLEX,0.3,weston mckennie,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Matt Freese,26.81,FLEX,-1.72,matt freese,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Dodi Lukébakio,22.34,FLEX,5.9,dodi lukebakio,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Alex Freeman,20.08,FLEX,10.02,alex freeman,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Timothy Castagne,14.88,FLEX,5.64,timothy castagne,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Sergiño Dest,13.83,FLEX,-0.28,sergino dest,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Thibaut Courtois,13.09,FLEX,5.48,thibaut courtois,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Charles De Ketelaere,11.36,FLEX,39,charles de ketelaere,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Tim Ream,7.36,FLEX,2.62,tim ream,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Tyler Adams,4.63,FLEX,2.68,tyler adams,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Chris Richards,4.31,FLEX,0.86,chris richards,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Nicolas Raskin,4.31,FLEX,13.94,nicolas raskin,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Romelu Lukaku,3.15,FLEX,12.06,romelu lukaku,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Amadou Onana,2.89,FLEX,1.24,amadou onana,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Kevin De Bruyne,2.26,FLEX,0,kevin de bruyne,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Brandon Mechele,2.1,FLEX,1.08,brandon mechele,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Jérémy Doku,1.95,FLEX,4.16,jeremy doku,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Nathan Ngoy,0.74,FLEX,3.04,nathan ngoy,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Sebastian Berhalter,0.26,FLEX,5,sebastian berhalter,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Ricardo Pepi,0.21,FLEX,2.06,ricardo pepi,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Hans Vanaken,0.11,FLEX,22.68,hans vanaken,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Miles Robinson,0.05,FLEX,0,miles robinson,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Giovanni Reyna,0.05,FLEX,1.42,giovanni reyna,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Auston Trusty,0.05,FLEX,0,auston trusty,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
Matt Turner,0.05,FLEX,0,matt turner,soc,soc-dk-2026-07-07-main,192055522,2026-07-07 18:10:19
