player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Matt Fitzpatrick,38.4,G,22,matt fitzpatrick,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Rory McIlroy,28.28,G,66,rory mcilroy,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Robert MacIntyre,26.53,G,63,robert macintyre,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Tommy Fleetwood,24.11,G,88,tommy fleetwood,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Wyndham Clark,22.64,G,33.5,wyndham clark,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Chris Gotterup,22.55,G,67,chris gotterup,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Scottie Scheffler,22.24,G,81.5,scottie scheffler,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Collin Morikawa,21.3,G,72.5,collin morikawa,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Viktor Hovland,20.58,G,23.5,viktor hovland,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Tom Kim,20.09,G,22.5,tom kim,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Patrick Reed,16.74,G,61,patrick reed,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Si Woo Kim,16.41,G,76.5,si woo kim,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Russell Henley,16.1,G,74.5,russell henley,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Justin Rose,15.69,G,24.5,justin rose,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Tyrrell Hatton,15.69,G,46.5,tyrrell hatton,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Sam Burns,13.91,G,92,sam burns,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Jon Rahm,13.68,G,62.5,jon rahm,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Xander Schauffele,12.2,G,64,xander schauffele,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Joaquin Niemann,10.45,G,19,joaquin niemann,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Alex Fitzpatrick,10.34,G,44,alex fitzpatrick,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Min Woo Lee,10.3,G,52.5,min woo lee,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Cameron Young,10.16,G,96.5,cameron young,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Ludvig Aberg,9.99,G,71.5,ludvig aberg,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
Justin Thomas,8.55,G,58,justin thomas,golf,golf-dk-2026-07-16-main,192044687,2026-07-20 11:33:09
