player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Collin Morikawa,34.44,G,31,collin morikawa,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Scottie Scheffler,31.89,G,43.65,scottie scheffler,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Chris Gotterup,31.53,G,33.85,chris gotterup,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Viktor Hovland,31.46,G,29.9,viktor hovland,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Rory McIlroy,26.77,G,36.25,rory mcilroy,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Ludvig Åberg,24.92,G,35.9,ludvig aberg,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Sam Burns,23.84,G,37.4,sam burns,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Matt Fitzpatrick,23.43,G,40.7,matt fitzpatrick,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Ryan Gerard,22.76,G,41.95,ryan gerard,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Akshay Bhatia,21.94,G,32.3,akshay bhatia,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Adam Scott,21.34,G,34,adam scott,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Si Woo Kim,21.17,G,40.5,si woo kim,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Xander Schauffele,21.05,G,29.65,xander schauffele,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Cameron Young,21.05,G,67.95,cameron young,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Min Woo Lee,20.98,G,16,min woo lee,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Tommy Fleetwood,20.72,G,30.8,tommy fleetwood,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Wyndham Clark,19.42,G,34.1,wyndham clark,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Gary Woodland,19.18,G,40.5,gary woodland,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Russell Henley,19.11,G,49.2,russell henley,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Patrick Cantlay,17.81,G,29.85,patrick cantlay,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Tom Kim,15.98,G,36.45,tom kim,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Hideki Matsuyama,15.84,G,29.85,hideki matsuyama,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Ryan Fox,15.81,G,32.6,ryan fox,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Robert MacIntyre,14.95,G,9.35,robert macintyre,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Alex Smalley,14.78,G,38.35,alex smalley,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Jacob Bridgeman,13.05,G,41.65,jacob bridgeman,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Justin Rose,10.86,G,53.25,justin rose,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Alex Fitzpatrick,10.24,G,41.45,alex fitzpatrick,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
Kristoffer Reitan,8.63,G,33.15,kristoffer reitan,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
J.J. Spaun,0.14,G,0,jj spaun,golf,golf-dk-2026-08-28-main,194540386,2026-08-31 08:07:16
