player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Lionel Messi,54.21,FLEX,9.54,lionel messi,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Lamine Yamal,47.35,FLEX,14.38,lamine yamal,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Pedro Porro,36.71,FLEX,14.5,pedro porro,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Mikel Oyarzabal,28.72,FLEX,3.72,mikel oyarzabal,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Marc Cucurella,27.88,FLEX,9.28,marc cucurella,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Álex Baena,26.83,FLEX,6.2,alex baena,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Enzo Fernández,26.53,FLEX,-0.86,enzo fernandez,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Rodri,25.69,FLEX,10.02,rodri,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Unai Simón,25.11,FLEX,10.54,unai simon,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Alexis Mac Allister,24.31,FLEX,2,alexis mac allister,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Dani Olmo,22.16,FLEX,6.62,dani olmo,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Fabián Ruiz,20.77,FLEX,4.1,fabian ruiz,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Rodrigo De Paul,19.81,FLEX,2.18,rodrigo de paul,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Emiliano Martínez,19.09,FLEX,20.62,emiliano martinez,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Julián Alvarez,17.24,FLEX,1.24,julian alvarez,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Aymeric Laporte,12.78,FLEX,9.2,aymeric laporte,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Lisandro Martínez,12.28,FLEX,-0.06,lisandro martinez,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Pau Cubarsí,11.73,FLEX,12.42,pau cubarsi,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Nico González,10.3,FLEX,1.1,nico gonzalez,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Cristian Romero,9.59,FLEX,-0.78,cristian romero,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Gonzalo Montiel,7.28,FLEX,3.66,gonzalo montiel,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Nicolás Tagliafico,5.89,FLEX,5.54,nicolas tagliafico,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Nico Williams,0.63,FLEX,16.42,nico williams,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Lautaro Martínez,0.38,FLEX,0,lautaro martinez,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Mikel Merino,0.21,FLEX,4.84,mikel merino,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Ferran Torres,0.17,FLEX,16.62,ferran torres,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Giuliano Simeone,0.08,FLEX,2.76,giuliano simeone,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Leandro Paredes,0.08,FLEX,0.92,leandro paredes,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
David Raya,0.04,FLEX,0,david raya,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Pedri,0.04,FLEX,8.14,pedri,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Víctor Muñoz,0.04,FLEX,0,victor munoz,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Nicolás Otamendi,0.04,FLEX,4.46,nicolas otamendi,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Marcos Llorente,0.04,FLEX,0,marcos llorente,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Nico Paz,0.04,FLEX,0,nico paz,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Giovani Lo Celso,0.04,FLEX,0,giovani lo celso,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Marcos Senesi,0.04,FLEX,1.08,marcos senesi,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Eric García,0.04,FLEX,0.2,eric garcia,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Gavi,0.04,CPT,0,gavi,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Exequiel Palacios,0.04,FLEX,0,exequiel palacios,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Nahuel Molina,0.04,FLEX,2.36,nahuel molina,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
Martín Zubimendi,0.04,FLEX,0.94,martin zubimendi,soc,soc-dk-2026-07-19-main,192494858,2026-07-20 11:33:28
