player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Jake Knapp,33.55,G,21.5,jake knapp,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Chris Gotterup,32.35,G,21,chris gotterup,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Cameron Young,30.55,G,13,cameron young,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Ben Kohles,23.96,G,16,ben kohles,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Si Woo Kim,23.26,G,16,si woo kim,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Hideki Matsuyama,22.62,G,21,hideki matsuyama,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Ryan Gerard,22.44,G,52.5,ryan gerard,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Wyndham Clark,21.57,G,11,wyndham clark,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Jackson Koivun,19.35,G,16,jackson koivun,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Jacob Bridgeman,18.71,G,15.5,jacob bridgeman,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Jackson Suber,17.98,G,24.5,jackson suber,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Ryo Hisatsune,15.8,G,26.5,ryo hisatsune,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
J.J. Spaun,13.93,G,21,jj spaun,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Akshay Bhatia,13.9,G,16.5,akshay bhatia,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Russell Henley,13.73,G,22.5,russell henley,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Davis Thompson,13.32,G,24,davis thompson,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Ben Griffin,12.59,G,19.5,ben griffin,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Rickie Fowler,11.6,G,53.5,rickie fowler,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Michael Thorbjornsen,11.34,G,16,michael thorbjornsen,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Xander Schauffele,10.87,G,26.5,xander schauffele,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
Chandler Phillips,10.06,G,10,chandler phillips,golf,golf-dk-2026-07-30-main,192834873,2026-07-30 16:58:49
