player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Matt Fitzpatrick,65,G,23.25,matt fitzpatrick,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Michael Thorbjornsen,55,G,45.9,michael thorbjornsen,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Patrick Cantlay,50,G,56.1,patrick cantlay,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
J.J. Spaun,40,G,51.85,jj spaun,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Rory McIlroy,35,G,32.2,rory mcilroy,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Ben Griffin,35,G,18.05,ben griffin,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Wyndham Clark,30,G,57.5,wyndham clark,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Robert MacIntyre,25,G,33.15,robert macintyre,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Si Woo Kim,25,G,36.25,si woo kim,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Jake Knapp,25,G,29.65,jake knapp,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Chris Gotterup,20,G,47.6,chris gotterup,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Min Woo Lee,20,G,27.55,min woo lee,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Cameron Young,20,G,53.25,cameron young,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Alex Smalley,20,G,37.4,alex smalley,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Xander Schauffele,15,G,44.95,xander schauffele,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Ludvig ?berg,10,G,29.85,ludvig berg,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Jacob Bridgeman,10,G,22.3,jacob bridgeman,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Nicolas Echavarria,10,G,16.9,nicolas echavarria,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Tom Kim,5,G,35.05,tom kim,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Michael Brennan,5,G,54.2,michael brennan,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Russell Henley,5,G,49,russell henley,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Scottie Scheffler,5,G,50.15,scottie scheffler,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Ryo Hisatsune,5,G,30.8,ryo hisatsune,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Aaron Rai,5,G,26.55,aaron rai,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Adam Scott,5,G,36.45,adam scott,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Eric Cole,5,G,36.45,eric cole,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Alex Fitzpatrick,5,G,22.3,alex fitzpatrick,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Viktor Hovland,5,G,66.75,viktor hovland,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Maverick McNealy,5,G,47.9,maverick mcnealy,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Tommy Fleetwood,5,G,35.05,tommy fleetwood,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Collin Morikawa,5,G,49.2,collin morikawa,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Ryan Gerard,5,G,45.9,ryan gerard,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Rickie Fowler,5,G,36.3,rickie fowler,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Kurt Kitayama,5,G,39.3,kurt kitayama,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Kristoffer Reitan,5,G,42.65,kristoffer reitan,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
Alex Noren,5,G,33.15,alex noren,golf,golf-dk-2026-08-21-main,194111673,2026-08-22 07:50:49
